Genbank Accession,Organism,Phylm,Bacteria or Archaea,Genome Length (nt),Chromosomes/plasmids,GC Content,Coding Length (nt),Coding GC Content,Effective Number of Codons,Effective Number of Codons Corrected for CG Content,Total Genes,Coding Genes,rRNA 5S,rRNA 16S,rRNA 23S,tRNAs,Isolation Source,Host,Country
NC_017030,Corallococcus coralloides DSM 2259,Proteobacteria,Bacteria,10080619,1,0.69896928,9078136,0.702587624,46.4662,60.1605,8058,7887,3,3,3,59, , , 
NZ_CP009302,Coriobacteriaceae bacterium 68-1-3,Actinobacteria,Bacteria,1967093,1,0.635624752,1731621,0.641314699,48.1548,29.1267,1715,1608,2,2,2,48,intestinal contents,Sus scrofa,"USA: Ames, Iowa"
NC_015389,Coriobacterium glomerans PW2,Actinobacteria,Bacteria,2115681,1,0.60393462,1835233,0.609943806,49.2879,27.022,1839,1733,2,2,2,46,intestinal tract,Pyrrhocoris apterus,Germany
NC_022198,Corynebacterium argentoratense DSM 44202,Actinobacteria,Bacteria,2031902,1,0.589016872,1805647,0.59414811,54.4785,40.0097,1890,1772,4,4,4,50, , , 
NZ_CP008944,Corynebacterium atypicum,Actinobacteria,Bacteria,2359448,2,0.653586688,2055620,0.660043199,51.3341,39.66,2109,1881,4,4,4,52,unknown human clinical source,Homo sapiens,United Kingdom: Wales: Cardiff
NC_010813,Corynebacterium aurimucosum ATCC 700975,Actinobacteria,Bacteria,2819226,2,0.6055882,2495114,0.613844097,56.5134,47.7307,2648,2553,4,3,4,55, , , 
NC_020506,Corynebacterium callunae DSM 20147,Actinobacteria,Bacteria,2928683,3,0.524515968,2554150,0.531860306,57.9653,52.5515,2711,2570,7,7,7,60, , , 
NZ_CP011311,Corynebacterium camporealensis,Actinobacteria,Bacteria,2451810,1,0.594096313,2202962,0.602358098,51.0881,46.8945,2283,2169,4,4,4,50,milk,Ovis aries,Spain: Cooperativa Castellana de Ganaderos
NZ_CP004350,Corynebacterium casei LMG S-19264,Actinobacteria,Bacteria,3132213,3,0.556844989,2725313,0.565819828,56.5751,48.3203,2850,2706,4,4,4,51, , , 
NZ_CP009220,Corynebacterium deserti GIMN1.010,Actinobacteria,Bacteria,3033893,3,0.552509146,2612910,0.561879951,56.4566,49.2142,2780,2628,6,6,6,59,mixed sand sample, ,China: western desert
NZ_LN831026,Corynebacterium diphtheriae,Actinobacteria,Bacteria,2463666,1,0.535242196,2169699,0.541800038,58.5372,53.6193,2318,2191,5,5,5,54,not known,not known,USA
NZ_CP006764,Corynebacterium doosanense CAU 212 = DSM 45436,Actinobacteria,Bacteria,2698995,2,0.667825617,2415486,0.676185248,50.4816,34.0347,2618,2506,4,4,4,53,Yeongdeuk-gun, ,South Korea
NC_004369,Corynebacterium efficiens YS-314,Actinobacteria,Bacteria,3219505,3,0.629738112,2804526,0.63994807,52.3442,41.9263,2891,2793,5,5,5,56, , , 
NZ_CP011541,Corynebacterium epidermidicanis,Actinobacteria,Bacteria,2692072,1,0.580607057,2354279,0.588353377,57.2312,50.0898,2456,2337,4,4,4,52,skin,Canis lupus familiaris, 
NZ_CP007156,Corynebacterium falsenii DSM 44353,Actinobacteria,Bacteria,2719616,2,0.631561588,2372446,0.639643221,47.1871,30.7707,2371,2205,3,3,3,50, , , 
NC_003450,Corynebacterium glutamicum ATCC 13032,Actinobacteria,Bacteria,3309401,1,0.538102515,2844627,0.548065177,50.4082,45.5119, , , ,,, , , , 
NZ_CP006842,Corynebacterium glyciniphilum AJ 3170,Actinobacteria,Bacteria,3568218,2,0.647505562,3193172,0.652865239,50.1951,28.8042,3299,3149,4,4,4,51, , , 
NC_020302,Corynebacterium halotolerans YIM 70093 = DSM 44683,Actinobacteria,Bacteria,3222008,2,0.683041165,2791985,0.690445021,41.9685,60.3581,2926,2789,4,4,4,53, , , 
NZ_CP005286,Corynebacterium humireducens NBRC 106098 = DSM 45392,Actinobacteria,Bacteria,2681312,1,0.685703864,2420102,0.693284002,49.4884,39.7474,2595,2482,4,4,4,54, , , 
NZ_CP009211,Corynebacterium imitans,Actinobacteria,Bacteria,2565321,1,0.642678342,2293023,0.651606198,53.0563,43.6677,2383,2270,4,4,4,54, ,Homo sapiens,Poland: regional hospital of Przemysl
NC_007164,Corynebacterium jeikeium K411,Actinobacteria,Bacteria,2476822,2,0.613513607,2194902,0.622611397,48.6514,35.8898,2160,2078,3,3,3,50, , , 
NC_012704,Corynebacterium kroppenstedtii DSM 44385,Actinobacteria,Bacteria,2446804,1,0.574598538,2095436,0.580631907,55.6097,48.4254,2072,1939,3,3,3,46, , , 
NZ_CP011312,Corynebacterium kutscheri,Actinobacteria,Bacteria,2354065,1,0.464627782,2015132,0.473276689,58.8676,57.0986,2097,1964,4,4,4,50,lung abscess,Mus musculus, 
NZ_CP006841,Corynebacterium lactis RW2-5,Actinobacteria,Bacteria,2769745,1,0.605297961,2406507,0.615709408,53.2632,43.4911,2428,2298,3,3,3,53, , , 
NZ_CP007790,Corynebacterium marinum DSM 44953,Actinobacteria,Bacteria,2729219,3,0.677525329,2421755,0.686406346,44.9712,29.4407,2556,2437,4,4,4,53,coastal sediment, , 
NC_021915,Corynebacterium maris DSM 45190,Actinobacteria,Bacteria,2833547,2,0.665815319,2498499,0.675205393,46.996,26.474,2637,2504,4,4,4,55, , , 
NZ_CP011542,Corynebacterium mustelae,Actinobacteria,Bacteria,3474226,3,0.525705869,3027876,0.533646028,57.5252,53.0822,3129,3009,4,4,4,53,"necropsy lung, liver and kidney tissue",Mustela putorius furo, 
NC_017301,Corynebacterium pseudotuberculosis C231,Actinobacteria,Bacteria,2328208,1,0.521891944,2039317,0.529195804,59.3854,55.2835,2086,1973,4,4,4,48,caseous lymphadenitis abscess,sheep,Brazil
NC_015673,Corynebacterium resistens DSM 45100,Actinobacteria,Bacteria,2601311,1,0.570919048,2271450,0.576005195,55.4583,41.6096,2256,2122,3,3,3,51, , , 
NZ_CP014634,Corynebacterium simulans,Actinobacteria,Bacteria,2737971,1,0.590080026,2431790,0.599004026,56.507,51.3788,2561,2441,4,4,4,52, ,Homo sapiens,USA
NZ_CP010827,Corynebacterium singulare,Actinobacteria,Bacteria,2830519,1,0.601191168,2496202,0.608644183,56.9792,48.6307,2579,2469,4,4,4,52,semen,Homo sapiens,France: Institute of Bacteriology of Strasbourg
NZ_CP009251,Corynebacterium stationis,Actinobacteria,Bacteria,2862233,2,0.548906745,2525276,0.55660213,57.9349,53.8227,2650,2489,5,5,5,51,seawater, , 
NC_021663,Corynebacterium terpenotabidum Y-11,Actinobacteria,Bacteria,2751233,1,0.670175881,2441664,0.675925926,47.3789,32.5999,2435,2333,5,5,5,57, , , 
NZ_CP011545,Corynebacterium testudinoris,Actinobacteria,Bacteria,2721226,1,0.631383795,2449263,0.638778686,51.5299,39.4705,2590,2485,4,4,4,52,necrotic lesions in the mouth,Testudinidae, 
NC_010545,Corynebacterium urealyticum DSM 7109,Actinobacteria,Bacteria,2369219,1,0.641852442,2073281,0.649907562,50.1455,35.3555,2018,1940,3,3,3,51, , , 
NZ_CP009215,Corynebacterium ureicelerivorans,Actinobacteria,Bacteria,2328278,2,0.650066919,2086312,0.656928026,51.8276,37.0644,2293,2189,4,4,4,51,blood culture,Homo sapiens,Germany: Bonn
NZ_CP011546,Corynebacterium uterequi,Actinobacteria,Bacteria,2419437,1,0.654979237,2135295,0.662736999,42.3239,23.2477,2188,2083,5,5,5,53,uterus of a maiden mare,Equus caballus,Sweden: Henan
NC_015859,Corynebacterium variabile DSM 44702,Actinobacteria,Bacteria,3433007,1,0.671459161,3026442,0.678901496,46.001,32.5339,3155,2955,6,6,6,59, , , 
NZ_CP004353,Corynebacterium vitaeruminis DSM 20294,Actinobacteria,Bacteria,2931780,1,0.655252782,2526307,0.668883869,41.5835,25.2306,2615,2480,5,5,5,52, , , 
NC_009726,Coxiella burnetii Dugway 5J108-111,Proteobacteria,Bacteria,2212937,2,0.423710661,1964809,0.426350856,56.9497,54.1435,2249,2060,1,1,1,42, , , 
NC_002971,Coxiella burnetii RSA 493,Proteobacteria,Bacteria,2032807,2,0.426006502,1573653,0.432277001,53.6452,42.585, , , ,,, , , , 
NZ_CP007541,Coxiella endosymbiont of Amblyomma americanum,Proteobacteria,Bacteria,656901,1,0.345928839,559965,0.354598948,50.3849,44.8435,605,554,1,1,1,39, , , 
NZ_CP011126,Coxiella-like endosymbiont,Proteobacteria,Bacteria,1733840,1,0.381724957,1198007,0.396900018,56.3871,54.4457,1640,1299,1,1,1,48, ,Rhipicephalus turanicus,Israel: kibutz Hulda
NC_019733,Crinalium epipsammum PCC 9333,Cyanobacteria,Bacteria,5620407,9,0.401626252,4689915,0.409974808,56.2905,56.2626,4980,4720,4,4,4,43,, , 
NC_014230,Croceibacter atlanticus HTCC2559,Bacteroidetes,Bacteria,2952962,1,0.339000299,2732809,0.343427587,47.0026,40.1333,2693,2639,2,2,2,36, , , 
NZ_CP011770,Croceicoccus naphthovorans,Proteobacteria,Bacteria,3863562,3,0.626079768,3459500,0.630620032,53.2634,37.5247,3840,3672,1,1,1,46,sterile tools, ,"China: Zhoushan island, Zhejiang"
NZ_CP011047,Cronobacter sakazakii,Proteobacteria,Bacteria,4663565,4,0.566414535,4104991,0.577777393,53.448,51.3508,4650,4362,8,7,7,84,infant's throat, ,USA: Tennessee
NC_013170,Cryptobacterium curtum DSM 15641,Actinobacteria,Bacteria,1617804,1,0.509115443,1403930,0.513449389,57.7877,52.6728,1406,1299,3,3,3,47, ,Homo sapiens, 
NZ_CP010536,Cupriavidus basilensis,Proteobacteria,Bacteria,8421483,2,0.650283091,7170816,0.659162221,49.4946,33.4099,7493,7294,7,7,7,70, ,PROTEOBACTERIA-BETA,"USA: Oakridge, Tennessee"
NZ_CP010516,Cupriavidus gilardii CR3,Proteobacteria,Bacteria,5578743,2,0.675510236,4805033,0.680691683,46.1716,27.0472,4928,4321,4,4,4,59,Tar Pits, ,"USA: Rancho La Brea, Los Angeles, California"
NC_007973,Cupriavidus metallidurans CH34,Proteobacteria,Bacteria,6913352,4,0.635309905,6031985,0.642364827,50.7826,34.0752,6326,6169,4,4,4,63, , , 
NC_021064,Cutibacterium avidum 44067,Actinobacteria,Bacteria,2526138,1,0.634817654,2235780,0.638811958,50.0766,40.6979,2297,2183,3,3,3,46, , , 
NC_019776,Cyanobacterium aponinum PCC 10605,Cyanobacteria,Bacteria,4176973,2,0.349314204,3416680,0.357223386,52.9003,48.5143,3566,3419,3,3,3,43,fresh water, , 
NZ_AP012549,cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake,Cyanobacteria,Bacteria,2794318,1,0.334134841,1582343,0.383227909,56.8065,57.2592,1739,1591,2,2,2,39, ,Epithemia turgida,"Japan:Tochigi, Nikkoh, Lake Yunoko"
NC_019675,Cyanobium gracile PCC 6307,Cyanobacteria,Bacteria,3342364,1,0.687071785,2957713,0.696334972,47.17,29.686,3342,3203,2,2,2,43,lake water, ,USA: Wisconsin
NC_010546,Cyanothece sp. ATCC 51142,Cyanobacteria,Bacteria,5460377,6,0.379419406,4703627,0.387870254,54.0947,48.9267,5092,4923,2,2,2,41, , , 
NC_011729,Cyanothece sp. PCC 7424,Cyanobacteria,Bacteria,6554169,7,0.385098096,5416503,0.394689156,56.1356,51.8112,5859,5599,3,3,3,44, , , 
NC_011880,Cyanothece sp. PCC 7425,Cyanobacteria,Bacteria,5786110,4,0.506484149,4989500,0.515739252,58.2209,55.9946,5398,5187,2,2,2,46, , , 
NC_014501,Cyanothece sp. PCC 7822,Cyanobacteria,Bacteria,7841948,7,0.398958142,6633013,0.407413343,56.0058,49.3426,7040,6672,3,3,3,47,fresh water in rice field, ,"India: Cuttack, Orissa"
NC_011726,Cyanothece sp. PCC 8801,Cyanobacteria,Bacteria,4787694,4,0.397578458,4120451,0.405008093,54.7569,50.2735,4515,4323,2,2,2,43, , , 
NC_015914,Cyclobacterium marinum DSM 745,Bacteroidetes,Bacteria,6221273,1,0.381460675,5399458,0.391651903,52.9915,55.3402,5033,4942,3,3,3,39,Coelomic fluid of a sand dollar, , 
NC_008255,Cytophaga hutchinsonii ATCC 33406,Bacteroidetes,Bacteria,4433218,1,0.388464542,3962137,0.396413854,55.5524,56.7887,3730,3662,3,3,3,38, , , 
NC_019780,Dactylococcopsis salina PCC 8305,Cyanobacteria,Bacteria,3781008,1,0.424383656,3162191,0.428493092,56.2407,52.9703,3682,3408,3,3,3,42,solar lake, ,Israel
NC_007298,Dechloromonas aromatica RCB,Proteobacteria,Bacteria,4501104,1,0.592472202,4089693,0.599495366,46.3582,25.669,4270,4156,4,4,4,64, , , 
NC_016616,Dechlorosoma suillum PS,Proteobacteria,Bacteria,3806980,1,0.653676405,3357601,0.663232766,39.3298,21.1072,3469,3350,2,2,2,55,swine waste primary lagoon sediment, ,USA
NC_013939,Deferribacter desulfuricans SSM1,Deferribacteres,Bacteria,2542933,2,0.303108261,2367350,0.304222443,48.6436,54.8527,2496,2429,2,2,2,44, , , 
NZ_CP007033,Dehalobacter restrictus DSM 9455,Firmicutes,Bacteria,2943336,1,0.445613073,2515412,0.457719451,57.8458,57.5892,2807,2645,4,4,4,52, , ,Netherlands
NC_002936,Dehalococcoides mccartyi 195,Chloroflexi,Bacteria,1469720,1,0.488502572,1327672,0.49660383,56.4674,51.4482,1577,1492,1,1,1,46, , , 
NZ_CP006951,Dehalococcoides mccartyi CG5,Chloroflexi,Bacteria,1362151,1,0.472160575,1225389,0.48049803,56.0299,51.782,1449,1392,1,1,1,46, , , 
NC_014314,Dehalogenimonas lykanthroporepellens BL-DC-9,Chloroflexi,Bacteria,1686510,1,0.550443816,1481640,0.56037364,50.3737,44.2765,1716,1637,1,1,1,46, , , 
NZ_CP013910,Deinococcus actinosclerus,Deinococcus-Thermus,Bacteria,3264334,1,0.705991482,2866539,0.711962754,43.9067,58.6904,3201,3050,3,3,3,49,soil, ,South Korea: Seoul
NC_012526,Deinococcus deserti VCD115,Deinococcus-Thermus,Bacteria,3855329,4,0.629702679,3231264,0.639576958,53.2365,43.1028,3556,3439,4,4,4,48, , , 
NC_008025,Deinococcus geothermalis DSM 11300,Deinococcus-Thermus,Bacteria,3247018,3,0.664719957,2874933,0.669931324,52.1463,39.1344,3115,2994,4,4,4,49, , , 
NC_017771,Deinococcus gobiensis I-0,Deinococcus-Thermus,Bacteria,4406036,7,0.691520274,3729646,0.703666951,47.3884,30.5196,4160,3997,5,5,5,47, , , 
NC_019789,Deinococcus peraridilitoris DSM 19664,Deinococcus-Thermus,Bacteria,4513714,3,0.636943103,3849505,0.644581057,50.5374,31.8021,4360,4209,4,4,4,48, , ,Chile
NC_015161,Deinococcus proteolyticus MRP,Deinococcus-Thermus,Bacteria,2886836,5,0.656390595,2486588,0.665051066,51.1308,37.3342,2724,2573,3,3,3,46,feces,Lama glama, 
NZ_CP011387,Deinococcus puniceus,Deinococcus-Thermus,Bacteria,2971983,1,0.626487433,2517226,0.637000015,48.53,31.297,2759,2680,3,3,3,47,soil, ,South Korea: mountain of Deogyusan
NC_001263,Deinococcus radiodurans R1,Deinococcus-Thermus,Bacteria,3284156,4,0.666143534,2950356,0.672739068,37.0311,15.3623, , , ,,, , , , 
NZ_CP011389,Deinococcus soli Cha et al. 2014,Deinococcus-Thermus,Bacteria,3236984,1,0.702027875,2848517,0.708135145,36.5407,60.6199,3128,3038,3,3,3,49,soil of a rice field, ,South Korea: Jeongeup-si
NZ_CP010028,Deinococcus swuensis,Deinococcus-Thermus,Bacteria,3531443,1,0.67411282,3061045,0.683282016,52.5094,45.508,3300,3168,2,3,2,47,Soil, ,South Korea: mountain of Deogyusan
NC_010002,Delftia acidovorans SPH-1,Proteobacteria,Bacteria,6767514,1,0.66476257,5989453,0.67534481,54.1312,35.299,6122,5975,5,5,5,80, , , 
NC_013943,Denitrovibrio acetiphilus DSM 12809,Deferribacteres,Bacteria,3222077,1,0.425366309,2940496,0.431744848,56.3429,55.1865,3049,2982,2,2,2,42, , ,Norway
NZ_CP012117,Dermabacter vaginalis,Actinobacteria,Bacteria,2392314,1,0.625880215,2148310,0.629548343,52.8543,41.2331,2101,2014,4,3,3,48, ,Homo sapiens,South Korea: Daejeon
NZ_CP008889,Dermacoccus nishinomiyaensis,Actinobacteria,Bacteria,3113642,2,0.690449319,2699231,0.693303759,40.3315,60.1066,2824,2695,3,3,3,50,HOT SPRING, ,"Malaysia: Ulu Slim, Perak"
NC_014365,Desulfarculus baarsii DSM 2075,Proteobacteria,Bacteria,3655731,1,0.65703494,3260433,0.664350717,38.4755,14.5898,3294,3204,1,1,1,46,ditch mud, ,Germany
NC_018017,Desulfitobacterium dehalogenans ATCC 51507,Firmicutes,Bacteria,4321753,1,0.449691595,3701000,0.458119697,58.0143,57.6425,4135,3971,6,6,6,73, , ,USA
NC_019903,Desulfitobacterium dichloroeliminans LMG P-21439,Firmicutes,Bacteria,3624449,1,0.442179211,3127962,0.450585077,58.5495,58.2014,3430,3273,6,6,6,72, , ,Belgium
NC_011830,Desulfitobacterium hafniense DCB-2,Firmicutes,Bacteria,5279134,1,0.475373423,4574587,0.485466775,58.2878,58.1662,4933,4785,5,5,5,73, , , 
NZ_CP007032,Desulfitobacterium metallireducens DSM 15288,Firmicutes,Bacteria,3176073,1,0.418928343,2726678,0.425227328,56.5232,55.9942,3048,2907,8,8,8,72, , ,USA
NC_015388,Desulfobacca acetoxidans DSM 11109,Proteobacteria,Bacteria,3282536,1,0.528911183,2786698,0.542413279,57.6177,51.3856,2958,2850,2,1,1,46, , ,Netherlands
NC_012108,Desulfobacterium autotrophicum HRM2,Proteobacteria,Bacteria,5657782,2,0.487636498,4963566,0.496694514,55.2213,48.5782,4958,4813,8,6,6,50, , , 
NC_018645,Desulfobacula toluolica Tol2,Proteobacteria,Bacteria,5197905,1,0.41448853,4592467,0.422587685,54.5281,52.1498,4645,4527,4,4,4,49, , , 
NC_014972,Desulfobulbus propionicus DSM 2032,Proteobacteria,Bacteria,3851869,1,0.589275752,3385615,0.598282439,51.5062,35.4753,3358,3255,2,2,2,48,freshwater mud, ,Germany
NC_020304,Desulfocapsa sulfexigens DSM 10523,Proteobacteria,Bacteria,4023512,2,0.45375806,3594029,0.460413647,57.3822,51.3705,3586,3500,3,3,3,46, , , 
NZ_CP015381,Desulfococcus multivorans,Proteobacteria,Bacteria,4455399,1,0.568272112,3860907,0.578265936,55.4436,44.5365,3908,3805,3,3,3,54, , ,Germany: Lower Saxony
NC_009943,Desulfococcus oleovorans Hxd3,Proteobacteria,Bacteria,3944167,1,0.561686156,3471773,0.572415881,54.433,44.4627,3374,3296,1,1,1,47, , , 
NC_013223,Desulfohalobium retbaense DSM 5692,Proteobacteria,Bacteria,2909567,2,0.573307987,2435833,0.580591116,55.5397,39.3921,2538,2440,2,2,2,50, , ,Senegal: Lake Retba
NC_013173,Desulfomicrobium baculatum DSM 4028,Proteobacteria,Bacteria,3942657,1,0.586469987,3484945,0.598885205,56.7304,43.3041,3490,3393,3,2,2,64, , , 
NC_018025,Desulfomonile tiedjei DSM 6799,Proteobacteria,Bacteria,6527027,2,0.500882867,5417037,0.506679574,58.9149,52.0002,5612,5486,1,1,1,50,sewage sludge, ,USA
NC_018066,Desulfosporosinus acidiphilus SJ4,Firmicutes,Bacteria,4991181,3,0.421116365,4079251,0.431243873,57.4722,58.2725,4557,4382,8,9,8,66,acid mining effluent decantation pond, ,France
NC_018515,Desulfosporosinus meridiei DSM 13257,Firmicutes,Bacteria,4873567,1,0.417840772,4052579,0.42595863,57.9213,58.6278,4482,4304,10,11,10,80, , ,Australia
NC_016584,Desulfosporosinus orientis DSM 765,Firmicutes,Bacteria,5863081,1,0.428548915,4972912,0.437153121,57.3608,57.9269,5428,5244,8,8,8,73, , ,Singapore
NC_006138,Desulfotalea psychrophila LSv54,Proteobacteria,Bacteria,3659634,3,0.466316031,3068140,0.475644853,58.2675,56.6315,3279,3113,8,7,7,65, , , 
NC_013216,Desulfotomaculum acetoxidans DSM 771,Firmicutes,Bacteria,4545624,1,0.415548448,3724152,0.427551292,56.6578,56.5248,4217,4007,9,10,10,67, , ,Germany
NC_021184,Desulfotomaculum gibsoniae DSM 7213,Firmicutes,Bacteria,4855529,1,0.45490965,3966980,0.469685756,57.1758,53.1309,4533,4326,8,8,8,58,freshwater mud, ,Germany
NC_015565,Desulfotomaculum nigrificans CO-1-SRB,Firmicutes,Bacteria,2892255,1,0.466257989,2469571,0.47655605,56.4487,52.7228,2805,2658,8,8,8,65, , ,Netherlands
NC_009253,Desulfotomaculum reducens MI-1,Firmicutes,Bacteria,3608104,1,0.422752504,3057378,0.432007426,55.2012,52.0557,3543,3392,8,8,8,70, , , 
NC_015589,Desulfotomaculum ruminis DSM 2154,Firmicutes,Bacteria,3969014,1,0.472430432,3369069,0.487284469,56.4774,52.1669,3917,3772,5,5,5,64,rumen of hay-fed sheep, , 
NC_014844,Desulfovibrio aespoeensis Aspo-2,Proteobacteria,Bacteria,3629109,1,0.625619677,3206656,0.63485575,48.2274,20.4176,3350,3232,2,2,2,54,granitic rock aquifer at 600 m depth, ,Sweden
NC_016629,Desulfovibrio africanus str. Walvis Bay,Proteobacteria,Bacteria,4200534,1,0.614208336,3562924,0.625507308,49.2102,29.9579,3817,3731,3,3,3,57, , , 
NC_007519,Desulfovibrio alaskensis G20,Proteobacteria,Bacteria,3730232,1,0.578361346,3269750,0.582662589,57.1102,49.8134,3461,3326,4,4,4,67, , , 
NC_016803,Desulfovibrio desulfuricans ND132,Proteobacteria,Bacteria,3858580,1,0.652093775,3385583,0.661293491,52.7849,33.038,3481,3398,2,2,2,55,not provided; submitted under MIGS 2.1, , 
NC_011883,Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774,Proteobacteria,Bacteria,2873437,1,0.580721624,2407357,0.588877761,54.1426,39.1291,2495,2376,3,3,3,52, , , 
NZ_CP014229,Desulfovibrio fairfieldensis,Proteobacteria,Bacteria,3699310,1,0.609000597,3091124,0.624727445,47.8234,26.2365,3127,3022,3,3,3,54,liver abcess material,homo sapiens,Australia
NC_012795,Desulfovibrio magneticus RS-1,Proteobacteria,Bacteria,5315620,3,0.626743259,4340389,0.647953444,51.7739,38.9205,4441,4329,3,3,3,53, , , 
NZ_LT630450,Desulfovibrio piger,Proteobacteria,Bacteria,2807531,1,0.64179879,2369940,0.648676338,52.6023,36.9071,2513,2373,7,7,7,76, , , 
NC_012881,Desulfovibrio salexigens DSM 2638,Proteobacteria,Bacteria,4289847,1,0.470927518,3810008,0.480404766,57.6084,54.884,3900,3766,5,5,5,89, , , 
NC_002937,Desulfovibrio vulgaris str. Hildenborough,Proteobacteria,Bacteria,3773159,2,0.63278913,3265620,0.635326217,41.571,21.7697, , , ,,, , , , 
NC_011769,Desulfovibrio vulgaris str. Miyazaki F,Proteobacteria,Bacteria,4040304,1,0.671089601,3282608,0.67697209,45.5369,24.2339,3229,3088,4,4,4,64, , , 
NZ_CP007051,Desulfurella acetivorans A63,Proteobacteria,Bacteria,1819992,2,0.320776602,1709180,0.321472014,45.2641,45.3135,1870,1796,2,2,2,48,hot spring, ,"Russia: Uron volcano, Kamchatcka peninsula"
NC_014836,Desulfurispirillum indicum S5,Chrysiogenetes,Bacteria,2928377,1,0.561087251,2595229,0.56781155,55.6988,45.3271,2705,2616,3,3,3,37,not provided; submitted under MIGS 2.1, , 
NC_014216,Desulfurivibrio alkaliphilus AHT 2,Proteobacteria,Bacteria,3097763,1,0.602863098,2753506,0.612644752,46.801,34.7311,2707,2613,2,2,2,47, , ,Egypt
NC_015185,Desulfurobacterium thermolithotrophum DSM 11699,Aquificae,Bacteria,1541968,1,0.349485852,1450916,0.34748738,48.9394,53.7041,1587,1500,2,2,2,43,deep-sea hydrothermal vent chimney, , 
NC_018001,Desulfurococcus fermentans DSM 16532,Crenarchaeota,Archaea,1384116,1,0.448287571,1234835,0.452219122,55.3793,44.3507,1490,1425,1,1,1,46,freshwater hot spring,,Russia
NC_011766,Desulfurococcus kamchatkensis 1221n,Crenarchaeota,Archaea,1365223,1,0.453391131,1198726,0.457051903,53.3219,42.2526,1441,1378,1,1,1,47,,,
NC_014961,Desulfurococcus mucosus DSM 2162,Crenarchaeota,Archaea,1314639,1,0.531416609,1182815,0.533449441,55.9748,44.8332,1399,1335,1,1,1,45,hot solfataric spring,,Iceland
NZ_CP010802,Desulfuromonas sp. WTL,Proteobacteria,Bacteria,3958620,1,0.611911979,3446440,0.624811109,52.1007,38.0444,3527,3419,2,2,2,55,deep subsurface anoxic brine, ,"USA: Soudan, MN"
NZ_CP011300,Devosia sp. H5989,Proteobacteria,Bacteria,4594249,1,0.647922717,4146816,0.652769498,46.5773,22.498,4485,4387,2,2,2,47,CSF,Homo sapiens,USA
NC_009446,Dichelobacter nodosus VCS1703A,Proteobacteria,Bacteria,1389350,1,0.443957566,1267344,0.450101512,48.8966,40.198,1335,1270,3,3,3,45, , , 
NC_014500,Dickeya dadantii 3937,Proteobacteria,Bacteria,4922802,1,0.562966302,4209772,0.578137419,52.5515,47.7646,4451,4215,8,7,7,75, , , 
NC_011297,Dictyoglomus thermophilum H-6-12,Dictyoglomi,Bacteria,1959987,1,0.337409891,1831241,0.338217089,42.8725,43.3396,1927,1855,2,2,2,46, , , 
NC_011661,Dictyoglomus turgidum DSM 6724,Dictyoglomi,Bacteria,1855560,1,0.339573498,1720893,0.339889813,41.1991,37.3329, , , ,,, , , , 
NC_009952,Dinoroseobacter shibae DFL 12 = DSM 16493,Proteobacteria,Bacteria,4417868,6,0.655246377,3939975,0.660014594,53.45,37.5849,4235,4115,2,2,2,43, , , 
NZ_CP015125,Dokdonia donghaensis DSW-1,Bacteroidetes,Bacteria,3293944,1,0.381716568,2989381,0.387666209,51.3884,36.5264,2907,2838,3,3,3,45,ENVO:00002006, ,South Korea
NZ_CP007451,Draconibacterium orientale,Bacteroidetes,Bacteria,5132075,1,0.413111071,4447646,0.423086729,55.9348,56.519,4199,4054,2,2,2,45,marine sediment sample, ,China: coast of Weihai
NC_013037,Dyadobacter fermentans DSM 18053,Bacteroidetes,Bacteria,6967790,1,0.515449949,6310027,0.525758448,57.6611,53.6379,5799,5697,4,4,4,38, ,Zea mays,USA
NZ_CP007444,Dyella jiangningensis,Proteobacteria,Bacteria,5396991,1,0.642255035,4705331,0.646271569,49.3502,32.0475,4773,4669,2,2,2,52, , ,China: Nanjing
NZ_CP014841,Dyella thiooxydans,Proteobacteria,Bacteria,4227172,1,0.679802005,3757304,0.684003211,51.3228,35.9495,3762,3686,2,2,2,50, , ,South Korea: Cheongwon
NC_019904,Echinicola vietnamensis DSM 17526,Bacteroidetes,Bacteria,5608040,1,0.447536929,4852225,0.4581729,57.0622,51.0581,4559,4451,4,4,4,44,seawater from mussel farm, ,Viet Nam
NC_012779,Edwardsiella ictaluri 93-146,Proteobacteria,Bacteria,3812301,1,0.574368865,3236001,0.588349633,54.5467,49.6971,3662,3273,9,8,8,94, , , 
NC_013204,Eggerthella lenta DSM 2243,Actinobacteria,Bacteria,3632260,1,0.642045999,3165772,0.649142452,50.5483,34.6668,3125,3032,3,3,3,48, , , 
NC_015738,Eggerthella sp. YY7918,Actinobacteria,Bacteria,3123671,1,0.562004769,2745546,0.568074256,57.6581,51.5291,2636,2522,2,2,2,48,Adult Human Intestine, , 
NC_007354,Ehrlichia canis str. Jake,Proteobacteria,Bacteria,1315030,1,0.289577424,946731,0.309869435,39.5412,36.2605,972,925,1,1,1,36, , , 
NC_007799,Ehrlichia chaffeensis str. Arkansas,Proteobacteria,Bacteria,1176248,1,0.301007101,911614,0.315469047,45.3094,47.7787,936,883,1,1,1,37, , , 
