"tax_id","org_name","rRNA16S_genes","tRNA_genes","reference","ref_type"
355278,"Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'",2,NA,NA,NA
456442,"Methanoregula boonei 6A8",1,NA,NA,NA
290339,"Cronobacter sakazakii ATCC BAA-894",7,NA,NA,NA
456481,"Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'",2,NA,NA,NA
2902295,"Vibrio campbellii ATCC BAA-1116",11,NA,NA,NA
360104,"Campylobacter concisus 13826",3,NA,NA,NA
331111,"Escherichia coli O139:H28 str. E24377A",7,NA,NA,NA
331112,"Escherichia coli HS",7,NA,NA,NA
458234,"Francisella tularensis subsp. holarctica FTNF002-00",3,NA,NA,NA
383372,"Roseiflexus castenholzii DSM 13941",2,NA,NA,NA
43989,"Crocosphaera subtropica ATCC 51142",2,NA,NA,NA
416591,"Pseudothermotoga lettingae TMO",1,NA,NA,NA
315750,"Bacillus pumilus SAFR-032",7,NA,NA,NA
407148,"Campylobacter jejuni subsp. jejuni 81116",3,NA,NA,NA
453591,"Ignicoccus hospitalis KIN4/I",1,NA,NA,NA
413997,"Escherichia coli B str. REL606",7,NA,NA,NA
425104,"Shewanella sediminis HAW-EB3",12,NA,NA,NA
290338,"Citrobacter koseri ATCC BAA-895",7,NA,NA,NA
93060,"Prochlorococcus marinus str. MIT 9215",1,NA,NA,NA
329726,"Acaryochloris marina MBIC11017",2,NA,NA,NA
471876,"Streptococcus pyogenes NZ131",6,NA,NA,NA
398580,"Dinoroseobacter shibae DFL 12 = DSM 16493",2,NA,NA,NA
423211,"Streptococcus suis GZ1",4,NA,NA,NA
293614,"Rickettsia akari str. Hartford",1,NA,NA,NA
392021,"Rickettsia rickettsii str. 'Sheila Smith'",1,NA,NA,NA
391896,"Rickettsia bellii OSU 85-389",1,NA,NA,NA
398579,"Shewanella pealeana ATCC 700345",11,NA,NA,NA
397948,"Caldivirga maquilingensis IC-167",1,NA,NA,NA
350688,"Alkaliphilus oremlandii OhILAs",8,NA,NA,NA
216594,"Mycobacterium marinum M",1,NA,NA,NA
523850,"Thermococcus onnurineus NA1",1,NA,NA,NA
476213,"Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594",7,NA,NA,NA
96561,"Desulfococcus oleovorans Hxd3",1,NA,NA,NA
477974,"Candidatus Desulforudis audaxviator MP104C",2,NA,NA,NA
405416,"Acinetobacter baumannii ACICU",6,NA,NA,NA
436308,"Nitrosopumilus maritimus SCM1",1,NA,NA,NA
483179,"Brucella canis ATCC 23365",3,NA,NA,NA
403833,"Petrotoga mobilis SJ95",2,NA,NA,NA
41514,"Salmonella enterica subsp. arizonae serovar 62:z4,z23:-",7,NA,NA,NA
398578,"Delftia acidovorans SPH-1",5,NA,NA,NA
357809,"Lachnoclostridium phytofermentans ISDg",8,NA,NA,NA
1016998,"Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7",7,NA,NA,NA
430066,"Brucella abortus S19",3,NA,NA,NA
360115,"Coxiella burnetii RSA 331",1,NA,NA,NA
399599,"Shewanella baltica OS195",10,NA,NA,NA
441768,"Acholeplasma laidlawii PG-8A",2,NA,NA,NA
349746,"Yersinia pestis Angola",7,NA,NA,NA
315730,"Bacillus mycoides KBAB4",14,NA,NA,NA
419610,"Methylorubrum extorquens PA1",5,NA,NA,NA
324602,"Chloroflexus aurantiacus J-10-fl",3,NA,NA,NA
288705,"Renibacterium salmoninarum ATCC 33209",2,NA,NA,NA
470137,"Brucella suis ATCC 23445",3,NA,NA,NA
309803,"Thermotoga neapolitana DSM 4359",1,NA,NA,NA
488221,"Streptococcus pneumoniae 70585",4,NA,NA,NA
488222,"Streptococcus pneumoniae JJA",4,NA,NA,NA
488223,"Streptococcus pneumoniae P1031",4,NA,NA,NA
487213,"Streptococcus pneumoniae Taiwan19F-14",4,NA,NA,NA
491915,"Anoxybacillus flavithermus WK1",8,NA,NA,NA
399726,"Thermoanaerobacter sp. X514",4,NA,NA,NA
340099,"Thermoanaerobacter pseudethanolicus ATCC 33223",4,NA,NA,NA
76869,"Pseudomonas putida GB-1",7,NA,NA,NA
498761,"Heliomicrobium modesticaldum Ice1",10,NA,NA,NA
458817,"Shewanella halifaxensis HAW-EB4",10,NA,NA,NA
306263,"Campylobacter lari RM2100",3,NA,NA,NA
498211,"Cellvibrio japonicus Ueda107",3,NA,NA,NA
1597,"Lacticaseibacillus paracasei",5,NA,NA,NA
487214,"Streptococcus pneumoniae Hungary19A-6",4,NA,NA,NA
498213,"Clostridium botulinum B1 str. Okra",9,NA,NA,NA
405440,"Xylella fastidiosa M12",2,NA,NA,NA
505682,"Ureaplasma parvum serovar 3 str. ATCC 27815",2,NA,NA,NA
481805,"Escherichia coli ATCC 8739",7,NA,NA,NA
316385,"Escherichia coli str. K-12 substr. DH10B",7,NA,NA,NA
32049,"Synechococcus sp. PCC 7002",2,NA,NA,NA
406425,"Burkholderia cenocepacia MC0-3",6,NA,NA,NA
392500,"Shewanella woodyi ATCC 51908",10,NA,NA,NA
498214,"Clostridium botulinum A3 str. Loch Maree",9,NA,NA,NA
244366,"Klebsiella variicola",8,NA,NA,NA
360094,"Xanthomonas oryzae pv. oryzae PXO99A",2,NA,NA,NA
374847,"Candidatus Korarchaeum cryptofilum OPF8",1,NA,NA,NA
126740,"Thermotoga sp. RQ2",1,NA,NA,NA
439855,"Escherichia coli SMS-3-5",7,NA,NA,NA
481448,"Methylacidiphilum infernorum V4",1,NA,NA,NA
412418,"Borrelia recurrentis A1",1,NA,NA,NA
426355,"Methylobacterium radiotolerans JCM 2831",6,NA,NA,NA
405441,"Xylella fastidiosa M23",2,NA,NA,NA
395495,"Leptothrix cholodnii SP-6",2,NA,NA,NA
444157,"Pyrobaculum neutrophilum V24Sta",1,NA,NA,NA
512566,"Streptococcus pneumoniae G54",4,NA,NA,NA
395963,"Beijerinckia indica subsp. indica ATCC 9039",3,NA,NA,NA
434923,"Coxiella burnetii CbuG_Q212",1,NA,NA,NA
434924,"Coxiella burnetii CbuK_Q154",1,NA,NA,NA
262543,"Exiguobacterium sibiricum 255-15",9,NA,NA,NA
398577,"Burkholderia ambifaria MC40-6",6,NA,NA,NA
441620,"Methylorubrum populi BJ001",5,NA,NA,NA
452637,"Opitutus terrae PB90-1",1,NA,NA,NA
516950,"Streptococcus pneumoniae CGSP14",4,NA,NA,NA
457570,"Natranaerobius thermophilus JW/NM-WN-LF",4,NA,NA,NA
63737,"Nostoc punctiforme PCC 73102",4,NA,NA,NA
391038,"Paraburkholderia phymatum STM815",6,NA,NA,NA
243272,"Mycoplasma arthritidis 158L3-1",1,NA,NA,NA
521006,"Neisseria gonorrhoeae NCCP11945",4,NA,NA,NA
398527,"Paraburkholderia phytofirmans PsJN",6,NA,NA,NA
445932,"Elusimicrobium minutum Pei191",1,NA,NA,NA
935198,"Clostridium botulinum B str. Eklund 17B (NRP)",11,NA,NA,NA
344609,"Shigella boydii CDC 3083-94",7,NA,NA,NA
349741,"Akkermansia muciniphila ATCC BAA-835",3,NA,NA,NA
512562,"Helicobacter pylori Shi470",2,NA,NA,NA
491916,"Rhizobium etli CIAT 652",3,NA,NA,NA
508767,"Clostridium botulinum E3 str. Alaska E43",11,NA,NA,NA
320483,"Anaplasma marginale str. Florida",1,NA,NA,NA
515621,"Clostridium botulinum Ba4 str. 657",9,NA,NA,NA
177437,"Desulforapulum autotrophicum HRM2",6,NA,NA,NA
398767,"Trichlorobacter lovleyi SZ",2,NA,NA,NA
537457,"Actinobacillus pleuropneumoniae serovar 7 str. AP76",6,NA,NA,NA
391904,"Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088",4,NA,NA,NA
395960,"Rhodopseudomonas palustris TIE-1",2,NA,NA,NA
290315,"Chlorobium limicola DSM 245",2,NA,NA,NA
373903,"Halothermothrix orenii H 168",4,NA,NA,NA
517417,"Chlorobaculum parvum NCIB 8327",2,NA,NA,NA
517418,"Chloroherpeton thalassium ATCC 35110",1,NA,NA,NA
452471,"Candidatus Amoebophilus asiaticus 5a2",1,NA,NA,NA
1774373,"Alteromonas mediterranea DE",5,NA,NA,NA
290512,"Prosthecochloris aestuarii DSM 271",1,NA,NA,NA
324925,"Pelodictyon phaeoclathratiforme BU-1",3,NA,NA,NA
391008,"Stenotrophomonas maltophilia R551-3",4,NA,NA,NA
546414,"Deinococcus deserti VCD115",4,NA,NA,NA
454169,"Salmonella enterica subsp. enterica serovar Heidelberg str. SL476",7,NA,NA,NA
404380,"Citrifermentans bemidjiense Bem",4,NA,NA,NA
439843,"Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633",7,NA,NA,NA
552526,"Streptococcus equi subsp. zooepidemicus MGCS10565",5,NA,NA,NA
447217,"Anaeromyxobacter sp. K",2,NA,NA,NA
380394,"Acidithiobacillus ferrooxidans ATCC 53993",2,NA,NA,NA
498217,"Edwardsiella tarda EIB202",8,NA,NA,NA
454166,"Salmonella enterica subsp. enterica serovar Agona str. SL483",7,NA,NA,NA
490899,"Desulfurococcus amylolyticus 1221n",1,NA,NA,NA
439851,"Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853",7,NA,NA,NA
309798,"Coprothermobacter proteolyticus DSM 5265",2,NA,NA,NA
309799,"Dictyoglomus thermophilum H-6-12",2,NA,NA,NA
289376,"Thermodesulfovibrio yellowstonii DSM 11347",1,NA,NA,NA
557760,"Cereibacter sphaeroides KD131",4,NA,NA,NA
557598,"Laribacter hongkongensis HLHK9",7,NA,NA,NA
322710,"Azotobacter vinelandii DJ",6,NA,NA,NA
561501,"Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)",1,NA,NA,NA
563178,"Buchnera aphidicola str. 5A (Acyrthosiphon pisum)",1,NA,NA,NA
444450,"Escherichia coli O157:H7 str. EC4115",7,NA,NA,NA
563041,"Helicobacter pylori G27",2,NA,NA,NA
552536,"Listeria monocytogenes HCC23",6,NA,NA,NA
405532,"Bacillus cereus B4264",14,NA,NA,NA
405534,"Bacillus cereus AH187",14,NA,NA,NA
480119,"Acinetobacter baumannii AB0057",6,NA,NA,NA
565575,"Ureaplasma urealyticum serovar 10 str. ATCC 33699",2,NA,NA,NA
484019,"Thermosipho africanus TCF52B",3,NA,NA,NA
405531,"Bacillus cereus G9842",13,NA,NA,NA
272568,"Gluconacetobacter diazotrophicus PA1 5",4,NA,NA,NA
395492,"Rhizobium leguminosarum bv. trifolii WSM2304",3,NA,NA,NA
504832,"Afipia carboxidovorans OM5",1,NA,NA,NA
445985,"Borreliella burgdorferi ZS7",1,NA,NA,NA
442563,"Bifidobacterium animalis subsp. lactis AD011",2,NA,NA,NA
568206,"Bacillus anthracis str. CDC 684",11,NA,NA,NA
570508,"Helicobacter pylori P12",2,NA,NA,NA
243159,"Acidithiobacillus ferrooxidans ATCC 23270",2,NA,NA,NA
562019,"Rickettsia peacockii str. Rustic",1,NA,NA,NA
204536,"Sulfurihydrogenibium azorense Az-Fu1",2,NA,NA,NA
123214,"Persephonella marina EX-H1",2,NA,NA,NA
579112,"Vibrio cholerae M66-2",7,NA,NA,NA
515635,"Dictyoglomus turgidum DSM 6724",2,NA,NA,NA
407976,"Shewanella baltica OS223",10,NA,NA,NA
309801,"Thermomicrobium roseum DSM 5159",2,NA,NA,NA
598659,"Nautilia profundicola AmH",4,NA,NA,NA
395965,"Methylocella silvestris BL2",2,NA,NA,NA
85643,"Thauera sp. MZ1T",4,NA,NA,NA
405535,"Bacillus cereus AH820",12,NA,NA,NA
41431,"Rippkaea orientalis PCC 8801",2,NA,NA,NA
65393,"Gloeothece citriformis PCC 7424",3,NA,NA,NA
440085,"Methylorubrum extorquens CM4",5,NA,NA,NA
272942,"Rhodobacter capsulatus SB 1003",4,NA,NA,NA
557723,"Glaesserella parasuis SH0165",6,NA,NA,NA
218208,"Desulfatibacillum aliphaticivorans",2,NA,NA,NA
272564,"Desulfitobacterium hafniense DCB-2",5,NA,NA,NA
326427,"Chloroflexus aggregans DSM 9485",3,NA,NA,NA
521011,"Methanosphaerula palustris E1-9c",3,NA,NA,NA
396588,"Thioalkalivibrio sulfidiphilus HL-EbGr7",1,NA,NA,NA
565050,"Caulobacter vibrioides NA1000",2,NA,NA,NA
452863,"Pseudarthrobacter chlorophenolicus A6",5,NA,NA,NA
394503,"Ruminiclostridium cellulolyticum H10",8,NA,NA,NA
460265,"Methylobacterium nodulans ORS 2060",7,NA,NA,NA
565034,"Brachyspira hyodysenteriae WA1",1,NA,NA,NA
455488,"Anaeromyxobacter dehalogenans 2CP-1",2,NA,NA,NA
588858,"Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S",7,NA,NA,NA
416348,"Halorubrum lacusprofundi ATCC 49239",3,NA,NA,NA
544404,"Escherichia coli O157:H7 str. TW14359",7,NA,NA,NA
591020,"Shigella flexneri 2002017",7,NA,NA,NA
316067,"Geotalea daltonii FRC-32",2,NA,NA,NA
66084,"Wolbachia sp. wRi",1,NA,NA,NA
521460,"Caldicellulosiruptor bescii DSM 6725",3,NA,NA,NA
595496,"Escherichia coli BW2952",7,NA,NA,NA
593117,"Thermococcus gammatolerans EJ3",1,NA,NA,NA
429572,"Sulfolobus islandicus L.S.2.15",1,NA,NA,NA
427317,"Sulfolobus islandicus M.14.25",1,NA,NA,NA
427318,"Sulfolobus islandicus M.16.27",1,NA,NA,NA
426118,"Sulfolobus islandicus M.16.4",1,NA,NA,NA
439386,"Sulfolobus islandicus Y.G.57.14",1,NA,NA,NA
419942,"Sulfolobus islandicus Y.N.15.51",1,NA,NA,NA
572264,"Bacillus cereus 03BB102",14,NA,NA,NA
434131,"Neorickettsia risticii str. Illinois",1,NA,NA,NA
604354,"Thermococcus sibiricus MM 739",1,NA,NA,NA
240015,"Acidobacterium capsulatum ATCC 51196",1,NA,NA,NA
593588,"Vibrio cholerae MJ-1236",7,NA,NA,NA
331104,"Blattabacterium sp. (Blattella germanica) str. Bge",1,NA,NA,NA
546272,"Brucella melitensis ATCC 23457",3,NA,NA,NA
626418,"Burkholderia glumae BGR1",5,NA,NA,NA
272630,"Methylorubrum extorquens AM1",5,NA,NA,NA
580050,"Bifidobacterium animalis subsp. lactis Bl-04",4,NA,NA,NA
634504,"Bartonella grahamii as4aup",2,NA,NA,NA
568815,"Brucella microti CCM 4915",3,NA,NA,NA
536232,"Clostridium botulinum A2 str. Kyoto",9,NA,NA,NA
449216,"Rickettsia prowazekii str. Rp22",1,NA,NA,NA
637382,"Yersinia pestis D106004",6,NA,NA,NA
637386,"Yersinia pestis Z176003",6,NA,NA,NA
592021,"Bacillus anthracis str. A0248",11,NA,NA,NA
634503,"Edwardsiella ictaluri 93-146",8,NA,NA,NA
548476,"Corynebacterium aurimucosum ATCC 700975",3,NA,NA,NA
637381,"Listeria monocytogenes 08-5923",5,NA,NA,NA
555970,"Bifidobacterium animalis subsp. lactis DSM 10140",4,NA,NA,NA
634176,"Aggregatibacter aphrophilus NJ8700",6,NA,NA,NA
347255,"Rickettsia africae ESF-5",1,NA,NA,NA
377629,"Teredinibacter turnerae T7901",3,NA,NA,NA
360911,"Exiguobacterium sp. AT1b",9,NA,NA,NA
595494,"Tolumonas auensis DSM 9187",8,NA,NA,NA
644042,"Lactiplantibacillus plantarum JDM1",5,NA,NA,NA
471853,"Beutenbergia cavernae DSM 12333",2,NA,NA,NA
471854,"Dyadobacter fermentans DSM 18053",4,NA,NA,NA
645127,"Corynebacterium kroppenstedtii DSM 44385",3,NA,NA,NA
436113,"Mycoplasma mycoides subsp. capri str. GM12",2,NA,NA,NA
395491,"Rhizobium leguminosarum bv. trifolii WSM1325",3,NA,NA,NA
465515,"Micrococcus luteus NCTC 2665",2,NA,NA,NA
525897,"Desulfomicrobium baculatum DSM 4028",2,NA,NA,NA
446462,"Actinosynnema mirum DSM 43827",5,NA,NA,NA
525909,"Acidimicrobium ferrooxidans DSM 10331",2,NA,NA,NA
521097,"Capnocytophaga ochracea DSM 7271",4,NA,NA,NA
510831,"Francisella tularensis subsp. tularensis NE061598",3,NA,NA,NA
521045,"Kosmotoga olearia TBF 19.5.1",2,NA,NA,NA
536056,"Escherichia coli DH1",7,NA,NA,NA
446465,"Brachybacterium faecium DSM 4810",3,NA,NA,NA
526222,"Maridesulfovibrio salexigens DSM 2638",5,NA,NA,NA
655815,"Zunongwangia profunda SM-A87",3,NA,NA,NA
579405,"Musicola paradisiaca Ech703",7,NA,NA,NA
561229,"Dickeya chrysanthemi Ech1591",7,NA,NA,NA
561230,"Pectobacterium carotovorum subsp. carotovorum PC1",7,NA,NA,NA
478434,"Mycobacterium tuberculosis KZN 1435",1,NA,NA,NA
866768,"Escherichia coli 'BL21-Gold(DE3)pLysS AG'",7,NA,NA,NA
583345,"Methylotenera mobilis JLW8",2,NA,NA,NA
582744,"Methylovorus glucosetrophus SIP3-4",2,NA,NA,NA
537021,"Candidatus Liberibacter asiaticus str. psy62",3,NA,NA,NA
582402,"Hirschia baltica ATCC 49814",2,NA,NA,NA
684950,"Helicobacter pylori 52",2,NA,NA,NA
485917,"Pedobacter heparinus DSM 2366",3,NA,NA,NA
469378,"Cryptobacterium curtum DSM 15641",3,NA,NA,NA
471857,"Saccharomonospora viridis DSM 43017",3,NA,NA,NA
471855,"Slackia heliotrinireducens DSM 20476",2,NA,NA,NA
523794,"Leptotrichia buccalis C-1013-b",5,NA,NA,NA
478801,"Kytococcus sedentarius DSM 20547",2,NA,NA,NA
519442,"Halorhabdus utahensis DSM 12940",1,NA,NA,NA
485914,"Halomicrobium mukohataei DSM 12286",3,NA,NA,NA
573064,"Methanocaldococcus fervens AG86",2,NA,NA,NA
485918,"Chitinophaga pinensis DSM 2588",6,NA,NA,NA
479433,"Catenulispora acidiphila DSM 44928",3,NA,NA,NA
471856,"Jonesia denitrificans DSM 20603",5,NA,NA,NA
523791,"Kangiella koreensis DSM 16069",2,NA,NA,NA
525919,"Anaerococcus prevotii DSM 20548",4,NA,NA,NA
313596,"Robiginitalea biformata HTCC2501",2,NA,NA,NA
406984,"Chlamydia pneumoniae LPCoLN",1,NA,NA,NA
634498,"Methanobrevibacter ruminantium M1",2,NA,NA,NA
485916,"Desulfofarcimen acetoxidans DSM 771",10,NA,NA,NA
521095,"Lancefieldella parvulum DSM 20469",1,NA,NA,NA
622759,"Zymomonas mobilis subsp. mobilis NCIMB 11163",3,NA,NA,NA
479437,"Eggerthella lenta DSM 2243",3,NA,NA,NA
521098,"Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446",6,NA,NA,NA
485915,"Desulfohalobium retbaense DSM 5692",2,NA,NA,NA
479435,"Kribbella flavida DSM 17836",2,NA,NA,NA
479431,"Nakamurella multipartita DSM 44233",2,NA,NA,NA
471852,"Thermomonospora curvata DSM 43183",4,NA,NA,NA
526218,"Sebaldella termitidis ATCC 33386",4,NA,NA,NA
504728,"Meiothermus ruber DSM 1279",2,NA,NA,NA
401473,"Bifidobacterium dentium Bd1",4,NA,NA,NA
488538,"Candidatus Puniceispirillum marinum IMCC1322",1,NA,NA,NA
574556,"Anaplasma centrale str. Israel",1,NA,NA,NA
446470,"Stackebrandtia nassauensis DSM 44728",2,NA,NA,NA
519441,"Streptobacillus moniliformis DSM 12112",5,NA,NA,NA
681288,"Staphylococcus aureus subsp. aureus ED98",5,NA,NA,NA
429009,"Ammonifex degensii KC4",2,NA,NA,NA
579137,"Methanocaldococcus vulcanius M7",2,NA,NA,NA
561231,"Pectobacterium parmentieri WPP163",7,NA,NA,NA
59374,"Fibrobacter succinogenes subsp. succinogenes S85",3,NA,NA,NA
481743,"Paenibacillus sp. Y412MC10",8,NA,NA,NA
472759,"Nitrosococcus halophilus Nc 4",2,NA,NA,NA
555778,"Halothiobacillus neapolitanus c2",2,NA,NA,NA
526226,"Gordonia bronchialis DSM 43247",2,NA,NA,NA
502025,"Haliangium ochraceum DSM 14365",2,NA,NA,NA
150340,"Vibrio antiquarius",11,NA,NA,NA
518766,"Rhodothermus marinus DSM 4252",1,NA,NA,NA
479432,"Streptosporangium roseum DSM 43021",6,NA,NA,NA
525898,"Sulfurospirillum deleyianum DSM 6946",3,NA,NA,NA
525903,"Thermanaerovibrio acidaminovorans DSM 6589",3,NA,NA,NA
446469,"Sanguibacter keddieii DSM 10542",4,NA,NA,NA
479436,"Veillonella parvula DSM 2008",4,NA,NA,NA
446471,"Xylanimonas cellulosilytica DSM 15894",3,NA,NA,NA
479434,"Sphaerobacter thermophilus DSM 20745",2,NA,NA,NA
525904,"Thermobaculum terrenum ATCC BAA-798",2,NA,NA,NA
311424,"Dehalococcoides mccartyi VS",1,NA,NA,NA
684738,"Lactococcus lactis subsp. lactis KF147",6,NA,NA,NA
590409,"Dickeya parazeae Ech586",7,NA,NA,NA
698737,"Staphylococcus lugdunensis HKU09-01",6,NA,NA,NA
590168,"Thermotoga naphthophila RKU-10",1,NA,NA,NA
1453429,"Candidatus Atelocyanobacterium thalassa isolate ALOHA",2,NA,NA,NA
703339,"Staphylococcus aureus 04-02981",5,NA,NA,NA
701177,"Escherichia coli O55:H7 str. CB9615",7,NA,NA,NA
530564,"Pirellula staleyi DSM 6068",1,NA,NA,NA
553190,"Gardnerella vaginalis 409-05",2,NA,NA,NA
699246,"Mageeibacillus indolicus UPII9-5",2,NA,NA,NA
552531,"Bifidobacterium animalis subsp. lactis BB-12",4,NA,NA,NA
469383,"Conexibacter woesei DSM 14684",1,NA,NA,NA
572546,"Archaeoglobus profundus DSM 5631",1,NA,NA,NA
591001,"Acidaminococcus fermentans DSM 20731",6,NA,NA,NA
543526,"Haloterrigena turkmenica DSM 5511",3,NA,NA,NA
526225,"Geodermatophilus obscurus DSM 43160",3,NA,NA,NA
710128,"Mycoplasma gallisepticum str. R(high)",2,NA,NA,NA
708616,"Mycoplasma gallisepticum str. F",2,NA,NA,NA
706191,"Pantoea ananatis LMG 20103",7,NA,NA,NA
567106,"Campylobacter jejuni subsp. jejuni IA3902",3,NA,NA,NA
640131,"Klebsiella variicola At-22",8,NA,NA,NA
572477,"Allochromatium vinosum DSM 180",3,NA,NA,NA
589924,"Ferroglobus placidus DSM 10642",1,NA,NA,NA
644281,"Methanocaldococcus sp. FS406-22",2,NA,NA,NA
396595,"Thioalkalivibrio sp. K90mix",1,NA,NA,NA
716541,"Enterobacter cloacae subsp. cloacae ATCC 13047",8,NA,NA,NA
638303,"Thermocrinis albus DSM 14484",1,NA,NA,NA
547559,"Natrialba magadii ATCC 43099",3,NA,NA,NA
580331,"Thermoanaerobacter italicus Ab9",4,NA,NA,NA
439481,"Aciduliprofundum boonei T469",1,NA,NA,NA
309800,"Haloferax volcanii DS2",2,NA,NA,NA
580332,"Sideroxydans lithotrophicus ES-1",2,NA,NA,NA
522772,"Denitrovibrio acetiphilus DSM 12809",2,NA,NA,NA
714962,"Escherichia coli IHE3034",7,NA,NA,NA
553199,"Cutibacterium acnes SK137",3,NA,NA,NA
592022,"Priestia megaterium DSM 319",11,NA,NA,NA
545693,"Priestia megaterium QM B1551",12,NA,NA,NA
512564,"Mycoplasma crocodyli MP145",2,NA,NA,NA
547558,"Methanohalophilus mahii DSM 5219",3,NA,NA,NA
572547,"Aminobacterium colombiense DSM 12261",3,NA,NA,NA
583355,"Coraliomargarita akajimensis DSM 45221",2,NA,NA,NA
264731,"Prevotella ruminicola 23",4,NA,NA,NA
177439,"Desulfotalea psychrophila LSv54",7,NA,NA,NA
76114,"Aromatoleum aromaticum EbN1",4,NA,NA,NA
272559,"Bacteroides fragilis NCTC 9343",6,NA,NA,NA
254945,"Ehrlichia ruminantium str. Welgevonden",1,NA,NA,NA
218497,"Chlamydia abortus S26/3",1,NA,NA,NA
348780,"Natronomonas pharaonis DSM 2160",1,NA,NA,NA
314315,"Latilactobacillus sakei subsp. sakei 23K",7,NA,NA,NA
166935,"Pseudoalteromonas translucida",9,NA,NA,NA
384676,"Pseudomonas entomophila L48",7,NA,NA,NA
114615,"Bradyrhizobium sp. ORS 278",2,NA,NA,NA
465817,"Erwinia tasmaniensis Et1/99",7,NA,NA,NA
37692,"Candidatus Phytoplasma mali",2,NA,NA,NA
585054,"Escherichia fergusonii ATCC 35469",7,NA,NA,NA
585055,"Escherichia coli 55989",7,NA,NA,NA
585034,"Escherichia coli IAI1",7,NA,NA,NA
585035,"Escherichia coli S88",7,NA,NA,NA
585057,"Escherichia coli IAI39",7,NA,NA,NA
349519,"Leuconostoc citreum KM20",4,NA,NA,NA
459424,"Mycobacterium liflandii 128FXT",1,NA,NA,NA
568704,"Lacticaseibacillus rhamnosus Lc 705",5,NA,NA,NA
574521,"Escherichia coli O127:H6 str. E2348/69",7,NA,NA,NA
554290,"Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601",7,NA,NA,NA
553482,"Streptococcus equi subsp. equi 4047",6,NA,NA,NA
40041,"Streptococcus equi subsp. zooepidemicus",5,NA,NA,NA
557722,"Pseudomonas aeruginosa LESB58",4,NA,NA,NA
561276,"Streptococcus pneumoniae ATCC 700669",4,NA,NA,NA
568819,"Listeria monocytogenes serotype 4b str. CLIP 80459",6,NA,NA,NA
568813,"Streptococcus suis SC84",4,NA,NA,NA
568814,"Streptococcus suis BM407",4,NA,NA,NA
672161,"Chlamydia trachomatis B/TZ1A828/OT",2,NA,NA,NA
580049,"Chlamydia trachomatis B/Jali20/OT",2,NA,NA,NA
604162,"Neisseria meningitidis 8013",4,NA,NA,NA
568708,"Salmonella enterica subsp. enterica serovar Typhimurium str. D23580",7,NA,NA,NA
663951,"Staphylococcus aureus subsp. aureus TW20",5,NA,NA,NA
637910,"Citrobacter rodentium ICC168",7,NA,NA,NA
216592,"Escherichia coli 042",7,NA,NA,NA
683837,"Listeria seeligeri serovar 1/2b str. SLCC3954",6,NA,NA,NA
365659,"Streptococcus mitis B6",4,NA,NA,NA
637909,"Streptococcus gallolyticus UCN34",6,NA,NA,NA
716540,"Erwinia amylovora ATCC 49946",7,NA,NA,NA
406818,"Xenorhabdus bovienii SS-2004",7,NA,NA,NA
634499,"Erwinia pyrifoliae Ep1/96",7,NA,NA,NA
243273,"Mycoplasma genitalium G37",1,NA,NA,NA
272634,"Mycoplasma pneumoniae M129",1,NA,NA,NA
216895,"Vibrio vulnificus CMCP6",9,NA,NA,NA
283165,"Bartonella quintana str. Toulouse",2,NA,NA,NA
283166,"Bartonella henselae str. Houston-1",2,NA,NA,NA
62977,"Acinetobacter baylyi ADP1",7,NA,NA,NA
273123,"Yersinia pseudotuberculosis IP 32953",7,NA,NA,NA
297246,"Legionella pneumophila str. Paris",3,NA,NA,NA
297245,"Legionella pneumophila str. Lens",3,NA,NA,NA
302409,"Ehrlichia ruminantium str. Gardel",1,NA,NA,NA
359391,"Brucella abortus 2308",3,NA,NA,NA
290398,"Chromohalobacter salexigens DSM 3043",5,NA,NA,NA
363253,"Lawsonia intracellularis PHE/MN1-00",2,NA,NA,NA
390333,"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002",9,NA,NA,NA
326424,"Frankia alni ACN14a",2,NA,NA,NA
386043,"Listeria welshimeri serovar 6b str. SLCC5334",6,NA,NA,NA
411154,"Gramella forsetii KT0803",3,NA,NA,NA
418699,"Azoarcus olearius",4,NA,NA,NA
405948,"Saccharopolyspora erythraea NRRL 2338",4,NA,NA,NA
351160,"Methanocella arvoryzae MRE50",3,NA,NA,NA
443906,"Clavibacter michiganensis subsp. michiganensis NCPPB 382",2,NA,NA,NA
357244,"Orientia tsutsugamushi str. Boryong",1,NA,NA,NA
413999,"Clostridium botulinum A str. ATCC 3502",9,NA,NA,NA
347257,"Mycoplasmopsis agalactiae PG2",2,NA,NA,NA
402612,"Flavobacterium psychrophilum JIP02/86",6,NA,NA,NA
