species,isolate,taxon,system,temperature,irradiance,light_hours,synonym,volume,c_per_cell,c_citation,mu_inf_amm,mu_amm,k_amm_m,k_amm,vmax_amm,vmax_amm_c,qmin_amm,qmin_amm_c,qmax_amm,qmax_amm_c,mu_inf_nit,mu_nit,k_nit_m,k_nit,vmax_nit,vmax_nit_c,qmin_nit,qmin_nit_c,qmax_nit,qmax_nit_c,mu_inf_p,mu_p,k_p_m,k_p,vmax_p,vmax_p_c,qmin_p,qmin_p_c,qmax_p,qmax_p_c,citation
Heterosigma akashiwo,,raphidophyte,marine,12,366,12,Heterosigma carterae,NA,NA,NA,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0.67,NA,NA,2.06E-06,NA,1.70E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
Thalassiosira pseudonana,CCMP 1335,diatom,marine,18,366,12,Heterosigma carterae,NA,NA,NA,NA,3.46,NA,NA,NA,NA,NA,NA,NA,NA,5.52,3.31,NA,0.86,2.57E-07,NA,5.00E-08,NA,2.86E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
Thalassiosira pseudonana,CCMP 1335,diatom,marine,12,366,12,,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,3.12,3.31,NA,0.6429,7.71E-08,NA,5.90E-08,NA,2.86E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
Pavlova lutheri,CCMP 1325,haptophyte,marine,20,14,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61E-10,NA,NA,NA,27
Planktothrix agardhii,,cyano,freshwater,20,40,NA,Oscillatoria agardhii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,1.45,NA,0.52,NA,0.0021,NA,0.0328,28
Prochlorothrix hollandica,PCC 9006,cyano,freshwater,20,40,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,0.51,NA,0.76,NA,0.00124,NA,0.0852,28
Anabaena flos-aquae,,cyano,freshwater,24,75,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.3332,NA,NA,NA,NA,NA,NA,NA,29
Selenastrum capricornutum,,green,freshwater,24,75,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,0.2421,NA,NA,NA,NA,NA,NA,NA,NA,1.63,0.1677,NA,NA,NA,NA,NA,NA,NA,29
Selenastrum minutum,,green,freshwater,20,100,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01,1.68,NA,NA,NA,NA,3.10E-08,NA,1.88E-07,NA,1.68,NA,NA,NA,NA,NA,1.43E-09,NA,1.14E-08,NA,30
Thalassiosira oceanica,CCMP 1005,diatom,marine,20,224,12,Thalassiosira pseudonana,102,NA,NA,NA,NA,NA,0.22,6.30E-07,NA,NA,NA,NA,NA,NA,NA,NA,0.49,6.50E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
Asterionella glacialis,,diatom,marine,26,166,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
Chaetoceros gracilis,,diatom,marine,26,166,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
Emiliania huxleyi,NIOZ strain L,cocco,marine,15,270,12,,NA,6.50E-07,4,NA,0.91,NA,NA,7.24E-07,1.11,1.00E-08,0.0154,NA,NA,NA,NA,NA,NA,5.57E-08,0.085714286,1.00E-08,0.0154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
Heterosigma akashiwo,,raphidophyte,marine,15,270,12,,NA,2.00E-05,1,NA,0.44,NA,NA,8.40E-06,0.42,1.01E-06,0.0506,NA,NA,NA,0.44,NA,NA,2.40E-06,0.12,1.00E-06,0.0506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
Trichodesmium erythraeum,IMS101,cyano,marine,25,45,12,,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.14,0.42,8.23E-08,NA,2.00E-08,NA,4.00E-08,NA,34
Trichodesmium erythraeum,GBRTRLI101,cyano,marine,25,45,12,,1740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.22,0.64,1.71E-07,NA,4.00E-08,NA,8.00E-08,NA,34
Synechococcus sp.,WH7803,cyano,marine,22,25,12,,NA,3.32E-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,0.4,6.96E-09,NA,5.71E-11,0.00172,1.62E-10,0.01,35
Thalassiosira pseudonana,,diatom,marine,22,54,24,,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,0.58,2.06E-07,NA,9.50E-10,NA,NA,NA,36
Thalassiosira weissflogii,,diatom,marine,22,54,24,,1570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,1.72,6.00E-06,NA,1.25E-08,NA,NA,NA,36
Asterionella ralfsii var. americana,UTCC 266,diatom,fresh,18,150,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
Cochlodinium polykrikoides,,dino,marine,21,100,14,,NA,NA,NA,NA,0.44,2.69,NA,NA,NA,NA,NA,NA,NA,NA,0.43,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
Pavlova lutheri,CCMP 1325,haptophyte,marine,18.8,80,24,Monochrysis lutheri,NA,1.30E-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,1.01,0.0145,NA,NA,NA,8.81E-10,0.000677,NA,NA,39
Pavlova lutheri,CCMP 1325,haptophyte,marine,18.8,80,24,Monochrysis lutheri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0.93,NA,NA,NA,NA,6.45E-10,NA,2.29E-08,NA,41
Pavlova lutheri,CCMP 1325,haptophyte,marine,15,80,24,Monochrysis lutheri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.78,NA,NA,NA,NA,1.29E-09,NA,1.00E-08,NA,41
Pavlova lutheri,CCMP 1325,haptophyte,marine,23,80,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,1.18,NA,NA,NA,NA,6.45E-10,NA,1.68E-08,NA,41
Chaetoceros simplex,,diatom,marine,20,192,24,,NA,NA,NA,NA,1.23,NA,NA,4.20E-07,NA,NA,NA,2.50E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Dunaliella tertiolecta,CCMP 1320,green,marine,20,192,24,,NA,NA,NA,NA,0.9,NA,NA,4.30E-07,NA,NA,NA,8.70E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Phaeodactylum tricornutum,CCMP 631,diatom,marine,20,192,24,,NA,NA,NA,NA,0.96,NA,NA,1.29E-06,NA,NA,NA,2.50E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Thalassiosira weissflogii,CCMP 1336,diatom,marine,20,192,24,,NA,NA,NA,NA,0.96,NA,NA,1.37E-05,NA,NA,NA,4.16E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Chaetoceros simplex,,diatom,marine,16,192,24,,NA,NA,NA,NA,1.25,NA,NA,2.57E-07,NA,NA,NA,1.81E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Chaetoceros simplex,,diatom,marine,12,192,24,,NA,NA,NA,NA,0.86,NA,NA,4.11E-07,NA,NA,NA,2.62E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Dunaliella tertiolecta,CCMP 1320,green,marine,16,192,24,,NA,NA,NA,NA,0.92,NA,NA,2.78E-07,NA,NA,NA,6.37E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Dunaliella tertiolecta,CCMP 1320,green,marine,12,192,24,,NA,NA,NA,NA,0.51,NA,NA,2.85E-07,NA,NA,NA,9.00E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Phaeodactylum tricornutum,CCMP 631,diatom,marine,16,192,24,,NA,NA,NA,NA,1.28,NA,NA,6.34E-07,NA,NA,NA,1.68E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Phaeodactylum tricornutum,CCMP 631,diatom,marine,12,192,24,,NA,NA,NA,NA,1,NA,NA,4.63E-07,NA,NA,NA,1.54E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Thalassiosira weissflogii,CCMP 1336,diatom,marine,16,192,24,,NA,NA,NA,NA,1,NA,NA,1.32E-05,NA,NA,NA,2.36E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Thalassiosira weissflogii,CCMP 1336,diatom,marine,12,192,24,,NA,NA,NA,NA,0.56,NA,NA,1.06E-05,NA,NA,NA,2.01E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
Dunaliella tertiolecta,CCMP 1320,green,marine,19,550,24,,NA,NA,NA,1.6,1.34,NA,NA,NA,NA,9.29E-08,NA,5.36E-07,NA,1.69,1.34,NA,NA,NA,NA,9.29E-08,NA,4.79E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
Ankistrodesmus falcatus,,green,freshwater,19,92,24,,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,9.11,3.95E-05,NA,1.30E-07,NA,3.42E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
Asterionella formosa,,diatom,freshwater,19,92,24,,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,NA,1.31,1.36E-06,NA,6.70E-08,NA,2.07E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
Fragilaria crotonensis,,diatom,freshwater,19,92,24,,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,7.94,7.98E-07,NA,4.60E-08,NA,1.46E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
Scenedesmus sp.,,green,freshwater,NA,NA,NA,,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,NA,NA,11.62,1.32E-06,NA,4.60E-08,NA,2.26E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
Anabaena flos-aquae,,cyano,freshwater,20,92,14,,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,1.15,5.81E-07,NA,2.63E-09,NA,1.76E-08,NA,44
Ankistrodesmus falcatus,,green,freshwater,20,92,14,,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA,3.95,6.49E-07,NA,3.10E-09,NA,7.31E-08,NA,44
Asterionella formosa,,diatom,freshwater,20,92,14,,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,NA,0.6,6.43E-07,NA,4.56E-09,NA,2.36E-08,NA,44
Fragilaria crotonensis,,diatom,freshwater,20,92,14,,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,1.06,4.84E-08,NA,3.34E-09,NA,7.33E-08,NA,44
Microcystis sp. ,,cyano,freshwater,20,92,14,,7.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA,1.61,1.22E-07,NA,1.58E-09,NA,1.26E-08,NA,44
Scenedesmus sp.,,green,freshwater,20,70,12,,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,NA,NA,0.6,1.15E-07,NA,1.60E-09,NA,1.16E-08,NA,44
Dunaliella tertiolecta,CCMP 1320,green,marine,20,130,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,NA,0.69,1.67E-06,NA,6.80E-09,NA,NA,NA,45
Chlamydomonas sp.,,green,freshwater,12,60,14,,44.87179487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,0.0071,NA,NA,NA,3.50E-09,NA,NA,NA,46
Chlorella vulgaris,,green,freshwater,12,60,14,,6.046511628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.022,NA,NA,NA,2.60E-10,NA,NA,NA,46
Cryptomonas sp.,,cryptomonad,freshwater,12,60,14,,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.014,NA,NA,NA,1.20E-08,NA,NA,NA,46
Fragilaria capucina,,diatom,freshwater,12,60,14,,857.1428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20E-08,NA,NA,NA,46
Nitzschia acicularis,,diatom,freshwater,12,60,14,,360.4651163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.0023,NA,NA,NA,3.10E-09,NA,NA,NA,46
Nitzschia linearis,,diatom,freshwater,12,60,14,,875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.019,NA,NA,NA,4.90E-08,NA,NA,NA,46
Nitzschia palea,,diatom,freshwater,12,60,14,,216.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.047,NA,NA,NA,3.90E-09,NA,NA,NA,46
Oocystis pusilla,,green,freshwater,12,60,14,,97.56097561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.012,NA,NA,NA,8.00E-09,NA,NA,NA,46
Scenedesmus quadricauda,,green,freshwater,12,60,14,,93.02325581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.035,NA,NA,NA,4.00E-09,NA,NA,NA,46
Sphaerocystis schroeteri,,green,freshwater,12,60,14,,217.6470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.025,NA,NA,NA,3.70E-09,NA,NA,NA,46
Synedra radians,,diatom,freshwater,12,60,14,,369.5652174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.00E-04,NA,NA,NA,1.70E-09,NA,NA,NA,46
Synedra rumpens,,diatom,freshwater,12,60,14,,352.9411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,0.0069,NA,NA,NA,1.80E-09,NA,NA,NA,46
Chlorella sp.,,green,freshwater,12,166.6666667,NA,,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52E-08,NA,2.20E-10,NA,NA,NA,47
Scenedesmus quadricauda,,green,freshwater,12,166.6666667,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02E-07,NA,2.10E-09,NA,NA,NA,47
Gonyaulax polyedra,CCMP 405,dino,marine,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,7.80E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
Skeletonema costatum,,diatom,marine,18,448,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
Chaetoceros debilis,,diatom,marine,18,256,24,,280,NA,NA,NA,NA,NA,NA,NA,NA,2.70E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
Skeletonema costatum,,diatom,marine,18,256,24,,173,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
Thalassiosira gravida,,diatom,marine,18,256,24,,5620,NA,NA,NA,NA,NA,NA,NA,NA,2.25E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
Anabaena variabilis,UTEX 1444,cyano,freshwater,25,92,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
Chlamydomonas reinhardtii,UTEX 89,green,freshwater,25,92,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
Microcystis aeruginosa,,cyano,freshwater,25,92,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
Pseudanabaena catenata,,cyano,freshwater,25,92,NA,,NA,NA,NA,NA,NA,NA,0.14,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
Scenedesmus quadricauda,,green,freshwater,25,92,NA,,NA,NA,NA,NA,NA,NA,0.15,NA,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
Selenastrum capricornutum,,green,freshwater,25,92,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
Rhabdoderma lineare,,cyano,freshwater,20,144,NA,Synechococcus linearis,NA,8.30E-08,0,NA,NA,NA,NA,1.68E-08,0.202,NA,NA,NA,NA,1.86,1.44,NA,NA,1.71E-09,0.0206,6.10E-09,0.074,2.15E-08,0.258,1.47,1.44,NA,NA,9.60E-08,1.15,1.11E-10,0.00133,8.23E-10,0.00987,51
Cosmarium subcostatum var. subcostatum f. minor,,desmid,freshwater,20,150,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3.60E-06,NA,1.87E-08,NA,NA,NA,52
Staurastrum paradoxum,,desmid,freshwater,20,150,NA,,2727,1.00E-04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.40E-06,0.024,6.77E-08,0.000677,NA,NA,52
Thalassiosira weissflogii,CCMP 1336,diatom,marine,21,66,14,Thalassiosira fluviatilis,NA,4.17E-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.20E-07,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
Asterionella formosa,,diatom,freshwater,20,20,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.07,0.7,3.59E-07,NA,3.02E-09,NA,NA,NA,54
Microcystis aeruginosa,,cyano,freshwater,20,20,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.19,1.23,1.93E-07,NA,5.10E-10,NA,NA,NA,54
Heterosigma akashiwo,,raphidophyte,marine,20,56,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.87E-08,NA,NA,NA,55
Synechococcus sp.,NIBB 1071,cyano,marine,25,30,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,0.07,1.48E-08,NA,2.40E-11,NA,6.70E-11,NA,56
Chaetoceros gracilis,,diatom,marine,28,190,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
Thalassiosira rotula,,diatom,marine,16,89,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.95E-08,NA,8.29E-07,NA,59
Thalassiosira rotula,,diatom,marine,2.5,30,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02E-08,NA,3.40E-07,NA,59
Thalassiosira rotula,,diatom,marine,6,45,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53E-08,NA,NA,NA,59
Thalassiosira rotula,,diatom,marine,12,89,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32E-08,NA,2.09E-07,NA,59
Phaeocystis pouchetii,,haptophyte,marine,1.5,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.99E-08,NA,NA,NA,58
Phaeocystis pouchetii,,haptophyte,marine,4,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.318681319,NA,NA,NA,NA,NA,NA,NA,NA,58
Phaeocystis pouchetii,,haptophyte,marine,6,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.50E-08,NA,58
Phaeocystis pouchetii,,haptophyte,marine,10,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.333333333,NA,NA,NA,NA,8.10E-09,NA,2.96E-08,NA,58
Phaeocystis pouchetii,,haptophyte,marine,12,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.690140845,NA,NA,NA,NA,NA,NA,NA,NA,58
Phaeocystis globosa,,haptophyte,marine,4,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.461538462,NA,NA,NA,NA,2.50E-03,NA,NA,NA,58
Phaeocystis globosa,,haptophyte,marine,6,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818181818,NA,NA,NA,NA,1.87E-08,NA,3.36E-08,NA,58
Phaeocystis globosa,,haptophyte,marine,10,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.939334638,NA,NA,NA,NA,1.00E-08,NA,3.10E-08,NA,58
Phaeocystis globosa,,haptophyte,marine,12,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.290322581,NA,NA,NA,NA,NA,NA,NA,NA,58
Phaeocystis globosa,,haptophyte,marine,14,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.028169014,NA,NA,NA,NA,7.10E-09,NA,2.46E-08,NA,58
