Data source record id	NCBI tax id	BioSample	BioProject	Data source organism name	NCBI scientific name	RDP taxa	Data source lineage	NCBI taxonomic lineage	RDP taxonomic lineage	basecount	16S gene count	23S gene count	tRNA gene count	Curator	Evidence	Note	References	rrnDB version
GCF_000013945.1	355276	SAMN02603615	PRJNA224116	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	Leptospira (genus)			"Bacteria|domain; ""Spirochaetes""|phylum; Spirochaetia|class; Spirochaetales|order; Leptospiraceae|family; Leptospira|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000013965.1	355277	SAMN02603616	PRJNA224116	Leptospira borgpetersenii serovar Hardjo-bovis str. JB197	Leptospira borgpetersenii serovar Hardjo-bovis str. JB197	Leptospira (genus)			"Bacteria|domain; ""Spirochaetes""|phylum; Spirochaetia|class; Spirochaetales|order; Leptospiraceae|family; Leptospira|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000013985.1	317655	SAMN02598319	PRJNA224116	Sphingopyxis alaskensis RB2256	Sphingopyxis alaskensis RB2256	Sphingopyxis (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Sphingomonadales|order; Sphingomonadaceae|family; Sphingopyxis|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014005.1	204669	SAMN02598354	PRJNA224116	Candidatus Koribacter versatilis Ellin345	Candidatus Koribacter versatilis Ellin345	Candidatus Koribacter (genus)			"Bacteria|domain; ""Acidobacteria""|phylum; Acidobacteria_Gp1|class; Candidatus Koribacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014025.1	367737	SAMN02604276	PRJNA224116	Arcobacter butzleri RM4018	Arcobacter butzleri RM4018	Arcobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Arcobacter|genus"		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014045.1	375451	SAMN02602987	PRJNA224116	Roseobacter denitrificans OCh 114	Roseobacter denitrificans OCh 114	Roseobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Rhodobacterales|order; Rhodobacteraceae|family; Roseobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014065.1	292414	SAMN02598292	PRJNA224116	Ruegeria sp. TM1040	Ruegeria sp. TM1040	Ruegeria (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Rhodobacterales|order; Rhodobacteraceae|family; Ruegeria|genus"		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014085.1	331271	SAMN02598326	PRJNA224116	Burkholderia cenocepacia AU 1054	Burkholderia cenocepacia AU 1054	Burkholderia (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Burkholderiales|order; Burkholderiaceae|family; Burkholderia|genus"		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014105.1	374833	SAMN02603605	PRJNA224116	Neisseria meningitidis 053442	Neisseria meningitidis 053442	Neisseria (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Neisseriales|order; Neisseriaceae|family; Neisseria|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014125.1	386415	SAMN02603464	PRJNA224116	Clostridium novyi NT	Clostridium novyi NT	Clostridium sensu stricto (genus)			Bacteria|domain; Firmicutes|phylum; Clostridia|class; Clostridiales|order; Clostridiaceae 1|family; Clostridium sensu stricto|genus		10				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014145.1	269798	SAMN02598536	PRJNA224116	Cytophaga hutchinsonii ATCC 33406	Cytophaga hutchinsonii ATCC 33406	Cytophaga (genus)			"Bacteria|domain; ""Bacteroidetes""|phylum; Cytophagia|class; Cytophagales|order; Cytophagaceae|family; Cytophaga|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014165.1	164756	SAMN02598348	PRJNA224116	Mycobacterium sp. MCS	Mycobacterium sp. MCS	Mycobacterium (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Corynebacterineae|suborder; Mycobacteriaceae|family; Mycobacterium|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014185.1	266117	SAMN02598258	PRJNA224116	Rubrobacter xylanophilus DSM 9941	Rubrobacter xylanophilus DSM 9941	Rubrobacter (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Rubrobacteridae|subclass; Rubrobacterales|order; ""Rubrobacterineae""|suborder; Rubrobacteraceae|family; Rubrobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014205.1	388919	SAMN02604299	PRJNA224116	Streptococcus sanguinis SK36	Streptococcus sanguinis SK36	Streptococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Streptococcaceae|family; Streptococcus|genus		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014225.1	342610	SAMN02598305	PRJNA224116	Pseudoalteromonas atlantica T6c	Pseudoalteromonas atlantica T6c	Paraglaciecola (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Alteromonadales|order; Alteromonadaceae|family; Paraglaciecola|genus"		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014245.1	266779	SAMN02598260	PRJNA224116	Chelativorans sp. BNC1	Chelativorans sp. BNC1	Chelativorans (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Rhizobiales|order; Phyllobacteriaceae|family; Chelativorans|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014265.1	203124	SAMN02598485	PRJNA224116	Trichodesmium erythraeum IMS101	Trichodesmium erythraeum IMS101	GpXII (genus)			Bacteria|domain; Cyanobacteria/Chloroplast|phylum; Cyanobacteria|class; Family XII|family; GpXII|genus		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCA_000014285.2	391165	SAMN02603769	PRJNA17111	Granulibacter bethesdensis CGDNIH1	Granulibacter bethesdensis CGDNIH1	Granulibacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Rhodospirillales|order; Acetobacteraceae|family; Granulibacter|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014345.1	293613	SAMN02604083	PRJNA224116	Rickettsia canadensis str. McKiel	Rickettsia canadensis str. McKiel	Rickettsia (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Rickettsiales|order; Rickettsiaceae|family; Rickettsia|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014365.1	373153	SAMN02604051	PRJNA224116	Streptococcus pneumoniae D39	Streptococcus pneumoniae D39	Streptococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Streptococcaceae|family; Streptococcus|genus		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014385.1	203123	SAMN02598484	PRJNA224116	Oenococcus oeni PSU-1	Oenococcus oeni PSU-1	Oenococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Leuconostocaceae|family; Oenococcus|genus		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014405.1	321956	SAMN02598530	PRJNA224116	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	Lactobacillus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Lactobacillaceae|family; Lactobacillus|genus		9				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014425.1	324831	SAMN02598542	PRJNA224116	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Lactobacillaceae|family; Lactobacillus|genus		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014445.1	203120	SAMN02598482	PRJNA224116	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Leuconostoc (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Leuconostocaceae|family; Leuconostoc|genus		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014465.1	387344	SAMN02598532	PRJNA224116	Lactobacillus brevis ATCC 367	Lactobacillus brevis ATCC 367	Lactobacillus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Lactobacillaceae|family; Lactobacillus|genus		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014485.1	322159	SAMN02598313	PRJNA224116	Streptococcus thermophilus LMD-9	Streptococcus thermophilus LMD-9	Streptococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Streptococcaceae|family; Streptococcus|genus		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014505.1	278197	SAMN02598525	PRJNA224116	Pediococcus pentosaceus ATCC 25745	Pediococcus pentosaceus ATCC 25745	Pediococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Lactobacillaceae|family; Pediococcus|genus		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014525.1	321967	SAMN02598528	PRJNA57985	Lactobacillus paracasei ATCC 334	Lactobacillus paracasei ATCC 334	Lactobacillus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Lactobacillaceae|family; Lactobacillus|genus		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014545.1	272622	SAMN02598527	PRJNA224116	Lactococcus lactis subsp. cremoris SK11	Lactococcus lactis subsp. cremoris SK11	Lactococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Streptococcaceae|family; Lactococcus|genus		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014565.1	101510	SAMN02604146	PRJNA224116	Rhodococcus jostii RHA1	Rhodococcus jostii RHA1	Rhodococcus (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Corynebacterineae|suborder; Nocardiaceae|family; Rhodococcus|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014585.1	64471	SAMN02604031	PRJNA224116	Synechococcus sp. CC9311	Synechococcus sp. CC9311	GpIIa (genus)			Bacteria|domain; Cyanobacteria/Chloroplast|phylum; Cyanobacteria|class; Family II|family; GpIIa|genus		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014605.1	393011	SAMN02641482	PRJNA224116	Francisella tularensis subsp. holarctica OSU18	Francisella tularensis subsp. holarctica OSU18	Francisella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Thiotrichales|order; Francisellaceae|family; Francisella|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014625.1	208963	SAMN02603591	PRJNA224116	Pseudomonas aeruginosa UCBPP-PA14	Pseudomonas aeruginosa UCBPP-PA14	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014645.1	401614	SAMN02604254	PRJNA224116	Francisella tularensis subsp. novicida U112	Francisella tularensis subsp. novicida U112	Francisella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Thiotrichales|order; Francisellaceae|family; Francisella|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014665.1	60481	SAMN02598316	PRJNA224116	Shewanella sp. MR-7	Shewanella sp. MR-7	Shewanella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Alteromonadales|order; Shewanellaceae|family; Shewanella|genus"		9				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014685.1	60480	SAMN02598317	PRJNA224116	Shewanella sp. MR-4	Shewanella sp. MR-4	Shewanella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Alteromonadales|order; Shewanellaceae|family; Shewanella|genus"		9				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014705.1	318167	SAMN02598301	PRJNA224116	Shewanella frigidimarina NCIMB 400	Shewanella frigidimarina NCIMB 400	Shewanella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Alteromonadales|order; Shewanellaceae|family; Shewanella|genus"		9				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014725.1	335541	SAMN02598286	PRJNA224116	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	Syntrophomonas (genus)			Bacteria|domain; Firmicutes|phylum; Clostridia|class; Clostridiales|order; Syntrophomonadaceae|family; Syntrophomonas|genus		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014745.1	394221	SAMN02598382	PRJNA224116	Maricaulis maris MCS10	Maricaulis maris MCS10	Maricaulis (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Caulobacterales|order; Hyphomonadaceae|family; Maricaulis|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014765.1	335283	SAMN02598323	PRJNA224116	Nitrosomonas eutropha C91	Nitrosomonas eutropha C91	Nitrosomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Nitrosomonadales|order; Nitrosomonadaceae|family; Nitrosomonas|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014785.1	187272	SAMN02598349	PRJNA224116	Alkalilimnicola ehrlichii MLHE-1	Alkalilimnicola ehrlichii MLHE-1	Alkalilimnicola (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Chromatiales|order; Ectothiorhodospiraceae|family; Alkalilimnicola|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014805.1	380703	SAMN02604052	PRJNA58617	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Aeromonadales|order; Aeromonadaceae|family; Aeromonas|genus"		10				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014825.1	316055	SAMN02598338	PRJNA224116	Rhodopseudomonas palustris BisA53	Rhodopseudomonas palustris BisA53	Rhodopseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Rhizobiales|order; Bradyrhizobiaceae|family; Rhodopseudomonas|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014845.1	405955	SAMN02603424	PRJNA224116	Escherichia coli APEC O1	Escherichia coli APEC O1	Escherichia/Shigella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; ""Enterobacteriales""|order; Enterobacteriaceae|family; Escherichia/Shigella|genus"		7				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014865.1	156889	SAMN02598452	PRJNA224116	Magnetococcus marinus MC-1	Magnetococcus marinus MC-1	Magnetococcus (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Magnetococcales|order; Magnetococcaceae|family; Magnetococcus|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014885.1	225849	SAMN02603456	PRJNA224116	Shewanella piezotolerans WP3	Shewanella piezotolerans WP3	Shewanella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Alteromonadales|order; Shewanellaceae|family; Shewanella|genus"		8				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014905.1	234267	SAMN02598277	PRJNA224116	Candidatus Solibacter usitatus Ellin6076	Candidatus Solibacter usitatus Ellin6076	Candidatus Solibacter (genus)			"Bacteria|domain; ""Acidobacteria""|phylum; Acidobacteria_Gp3|class; Candidatus Solibacter|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014925.1	290340	SAMN02604022	PRJNA224116	Paenarthrobacter aurescens TC1	Paenarthrobacter aurescens TC1	Arthrobacter (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Micrococcineae|suborder; Micrococcaceae|family; Arthrobacter|genus"		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014965.1	335543	SAMN02598285	PRJNA224116	Syntrophobacter fumaroxidans MPOB	Syntrophobacter fumaroxidans MPOB	Syntrophobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Deltaproteobacteria|class; Syntrophobacterales|order; Syntrophobacteraceae|family; Syntrophobacter|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000014985.1	243243	SAMN02603981	PRJNA224116	Mycobacterium avium 104	Mycobacterium avium 104	Mycobacterium (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Corynebacterineae|suborder; Mycobacteriaceae|family; Mycobacterium|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015005.1	246196	SAMN02603982	PRJNA57701	Mycobacterium smegmatis str. MC2 155	Mycobacterium smegmatis str. MC2 155	Mycobacterium (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Corynebacterineae|suborder; Mycobacteriaceae|family; Mycobacterium|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015025.1	351607	SAMN02598358	PRJNA224116	Acidothermus cellulolyticus 11B	Acidothermus cellulolyticus 11B	Acidothermus (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Frankineae|suborder; Acidothermaceae|family; Acidothermus|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015045.1	338966	SAMN02598297	PRJNA224116	Pelobacter propionicus DSM 2379	Pelobacter propionicus DSM 2379	Desulfuromonadales (order)			"Bacteria|domain; ""Proteobacteria""|phylum; Deltaproteobacteria|class; Desulfuromonadales|order"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015065.1	412694	SAMN02598406	PRJNA224116	Bacillus thuringiensis str. Al Hakam	Bacillus thuringiensis str. Al Hakam	Bacillus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Bacillales|order; Bacillaceae 1|family; Bacillus|genus		14				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015085.1	360106	SAMN02604050	PRJNA224116	Campylobacter fetus subsp. fetus 82-40	Campylobacter fetus subsp. fetus 82-40	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015105.1	413404	SAMN02598375	PRJNA224116	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	Gammaproteobacteria (class)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015125.1	290317	SAMN02598273	PRJNA224116	Chlorobium phaeobacteroides DSM 266	Chlorobium phaeobacteroides DSM 266	Chlorobium (genus)			"Bacteria|domain; ""Chlorobi""|phylum; ""Chlorobia""|class; Chlorobiales|order; Chlorobiaceae|family; Chlorobium|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015145.1	415426	SAMN02604082	PRJNA224116	Hyperthermus butylicus DSM 5456	Hyperthermus butylicus DSM 5456	Pyrodictium (genus)			"Archaea|domain; ""Crenarchaeota""|phylum; Thermoprotei|class; Desulfurococcales|order; Pyrodictiaceae|family; Pyrodictium|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015165.1	288000	SAMN02598359	PRJNA224116	Bradyrhizobium sp. BTAi1	Bradyrhizobium sp. BTAi1	Bradyrhizobium (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Rhizobiales|order; Bradyrhizobiaceae|family; Bradyrhizobium|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015185.1	351745	SAMN02598315	PRJNA224116	Shewanella sp. W3-18-1	Shewanella sp. W3-18-1	Shewanella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Alteromonadales|order; Shewanellaceae|family; Shewanella|genus"		8				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015205.1	384616	SAMN02598374	PRJNA224116	Pyrobaculum islandicum DSM 4184	Pyrobaculum islandicum DSM 4184	Pyrobaculum (genus)			"Archaea|domain; ""Crenarchaeota""|phylum; Thermoprotei|class; Thermoproteales|order; Thermoproteaceae|family; Pyrobaculum|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015225.1	368408	SAMN02598366	PRJNA224116	Thermofilum pendens Hrk 5	Thermofilum pendens Hrk 5	Thermofilum (genus)			"Archaea|domain; ""Crenarchaeota""|phylum; Thermoprotei|class; Thermoproteales|order; Thermofilaceae|family; Thermofilum|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015245.1	326297	SAMN02598298	PRJNA224116	Shewanella amazonensis SB2B	Shewanella amazonensis SB2B	Shewanella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Alteromonadales|order; Shewanellaceae|family; Shewanella|genus"		8				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015265.1	196162	SAMN02598280	PRJNA224116	Nocardioides sp. JS614	Nocardioides sp. JS614	Nocardioides (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Propionibacterineae|suborder; Nocardioidaceae|family; Nocardioides|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015285.1	357804	SAMN02598361	PRJNA224116	Psychromonas ingrahamii 37	Psychromonas ingrahamii 37	Psychromonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Alteromonadales|order; Psychromonadaceae|family; Psychromonas|genus"		10				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015305.1	350058	SAMN02598347	PRJNA224116	Mycobacterium vanbaalenii PYR-1	Mycobacterium vanbaalenii PYR-1	Mycobacterium (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Corynebacterineae|suborder; Mycobacteriaceae|family; Mycobacterium|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015325.1	397945	SAMN02598334	PRJNA224116	Acidovorax citrulli AAC00-1	Acidovorax citrulli AAC00-1	Acidovorax (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Burkholderiales|order; Comamonadaceae|family; Acidovorax|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015345.1	246195	SAMN02603972	PRJNA224116	Dichelobacter nodosus VCS1703A	Dichelobacter nodosus VCS1703A	Dichelobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Cardiobacteriales|order; Cardiobacteriaceae|family; Dichelobacter|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015365.1	351348	SAMN02598294	PRJNA224116	Marinobacter hydrocarbonoclasticus VT8	Marinobacter hydrocarbonoclasticus VT8	Marinobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Alteromonadales|order; Alteromonadaceae|family; Marinobacter|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015385.1	405566	SAMN02603893	PRJNA224116	Lactobacillus helveticus DPC 4571	Lactobacillus helveticus DPC 4571	Lactobacillus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Lactobacillaceae|family; Lactobacillus|genus		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015405.1	189918	SAMN02598356	PRJNA224116	Mycobacterium sp. KMS	Mycobacterium sp. KMS	Mycobacterium (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Corynebacterineae|suborder; Mycobacteriaceae|family; Mycobacterium|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015445.1	360095	SAMN02604047	PRJNA224116	Bartonella bacilliformis KC583	Bartonella bacilliformis KC583	Bartonella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Rhizobiales|order; Bartonellaceae|family; Bartonella|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015465.1	320388	SAMN02604034	PRJNA224116	Burkholderia mallei SAVP1	Burkholderia mallei SAVP1	Burkholderia (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Burkholderiales|order; Burkholderiaceae|family; Burkholderia|genus"		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015485.1	391774	SAMN02598381	PRJNA224116	Desulfovibrio vulgaris DP4	Desulfovibrio vulgaris DP4	Desulfovibrio (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Deltaproteobacteria|class; Desulfovibrionales|order; Desulfovibrionaceae|family; Desulfovibrio|genus"		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015505.1	365044	SAMN02598302	PRJNA224116	Polaromonas naphthalenivorans CJ2	Polaromonas naphthalenivorans CJ2	Polaromonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Burkholderiales|order; Comamonadaceae|family; Polaromonas|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015525.1	354242	SAMN02604044	PRJNA224116	Campylobacter jejuni subsp. jejuni 81-176	Campylobacter jejuni subsp. jejuni 81-176	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015545.1	232721	SAMN02598333	PRJNA224116	Acidovorax sp. JS42	Acidovorax sp. JS42	Diaphorobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Burkholderiales|order; Comamonadaceae|family; Diaphorobacter|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_000015565.1	391735	SAMN02598379	PRJNA224116	Verminephrobacter eiseniae EF01-2	Verminephrobacter eiseniae EF01-2	Verminephrobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Burkholderiales|order; Comamonadaceae|family; Verminephrobacter|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
