#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),CDS,Genes,Host,RefSeq category,tRNA
"Thermoanaerobacterium thermosaccharolyticum DSM 571","Bacteria;Terrabacteria group;Firmicutes","DSM 571","SAMN00002542","PRJNA33165","Complete",2.78575,2566,2762,,"representative",57
"Thermoproteus uzoniensis 768-20","Archaea;TACK group;Crenarchaeota","768-20","SAMN02603093","PRJNA64455","Complete",1.93606,2114,2174,,,36
"Prevotella denticola F0289","Bacteria;FCB group;Bacteroidetes/Chlorobi group","F0289","SAMN00031760","PRJNA49293","Complete",2.93759,2268,2398,"human","representative",49
"[Eubacterium] eligens ATCC 27750","Bacteria;Terrabacteria group;Firmicutes","ATCC 27750","SAMN02603083","PRJNA29073","Complete",2.83139,2613,2723,,"representative",47
"Hippea maritima DSM 10411","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 10411","SAMN00713597","PRJNA48195","Complete",1.69443,1703,1785,,"representative",48
"Fluviicola taffensis DSM 16823","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 16823","SAMN00713599","PRJNA47603","Complete",4.63358,4005,4082,,"representative",40
"Archaeoglobus veneficus SNP6","Archaea;Euryarchaeota;Archaeoglobi","SNP6","SAMN00713598","PRJNA51621","Complete",1.90194,2072,2152,,"representative",46
"Methylovorus sp. MP688","Bacteria;Proteobacteria;Betaproteobacteria","MP688","SAMN02603013","PRJNA52541","Complete",2.86239,2653,2730,,,46
"Pseudopedobacter saltans DSM 12145","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 12145","SAMN00103626","PRJNA49337","Complete",4.63524,3790,3891,,"representative",51
"Methanococcus voltae A3","Archaea;Euryarchaeota;Methanomada group","A3","SAMN00000040","PRJNA20131","Complete",1.93639,1688,1741,,"representative",39
"Hyphomicrobium denitrificans ATCC 51888","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 51888","SAMN02598499","PRJNA33261","Complete",3.63897,3473,3542,,"representative",46
"Polymorphum gilvum SL003B-26A1","Bacteria;Proteobacteria;Alphaproteobacteria","SL003B-26A1","SAMN02603150","PRJNA63293","Complete",4.71896,4356,4466,,"representative",50
"gamma proteobacterium HdN1","Bacteria;Proteobacteria;Gammaproteobacteria","","SAMEA2272402","PRJEA46849","Complete",4.58746,3771,3892,,,47
"Staphylococcus pseudintermedius HKU10-03","Bacteria;Terrabacteria group;Firmicutes","HKU10-03","SAMN02603958","PRJNA61283","Complete",2.61738,2384,2517,"human","representative",59
"Microbacterium testaceum StLB037","Bacteria;Terrabacteria group;Actinobacteria","StLB037","SAMD00060982","PRJDA62249","Complete",3.98203,3551,3647,,"representative",45
"Acidiphilium multivorum AIU301","Bacteria;Proteobacteria;Alphaproteobacteria","AIU301","SAMD00060977","PRJDA60101","Complete",4.21474,3803,3991,,"representative",48
"Bordetella pertussis Tohama I","Bacteria;Proteobacteria;Betaproteobacteria","Tohama I","SAMEA1705933","PRJNA26","Complete",4.08619,3425,3856,"human","reference",51
"Rickettsia prowazekii str. Madrid E","Bacteria;Proteobacteria;Alphaproteobacteria","Madrid E","SAMEA3138318","PRJNA43","Complete",1.11152,843,889,"human","reference",33
"Listeria innocua Clip11262","Bacteria;Terrabacteria group;Firmicutes","Clip11262","SAMEA3138320","PRJNA86","Complete",3.09311,3078,3218,"human",,66
"Mycobacterium leprae TN","Bacteria;Terrabacteria group;Actinobacteria","TN","SAMEA1705921","PRJNA90","Complete",3.2682,1605,2770,"human","reference",45
"Mycoplasma pulmonis UAB CTIP","Bacteria;Terrabacteria group;Tenericutes","UAB CTIP","SAMEA3138324","PRJNA100","Complete",0.963879,745,790,,"representative",29
"Thermoplasma acidophilum DSM 1728","Archaea;Euryarchaeota;Diaforarchaea group","DSM1728","SAMEA3138325","PRJNA110","Complete",1.56491,1521,1590,,"representative",45
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","Bacteria;Proteobacteria;Gammaproteobacteria","CT18","SAMEA1705914","PRJNA236","Complete",5.13371,4473,4829,"human","reference",80
"Cupriavidus metallidurans CH34","Bacteria;Proteobacteria;Betaproteobacteria","CH34","SAMN02598450","PRJNA250","Complete",6.91335,6316,6517,"human","representative",63
"Listeria monocytogenes EGD-e","Bacteria;Terrabacteria group;Firmicutes","EGD-e","SAMEA3138329","PRJNA276","Complete",2.94453,2867,3055,"human","reference",67
"Borreliella bavariensis PBi","Bacteria;Spirochaetes;Spirochaetia","PBi","SAMN02603240","PRJNA12554","Complete",0.986914,876,950,"human",,32
"Arthrobacter sp. FB24","Bacteria;Terrabacteria group;Actinobacteria","FB24","SAMN02598278","PRJNA12640","Complete",5.07048,4486,4623,,,51
"Photobacterium profundum SS9","Bacteria;Proteobacteria;Gammaproteobacteria","SS9","SAMEA3138336","PRJNA13128","Complete",6.40328,5354,5864,,"representative",169
"Deinococcus geothermalis DSM 11300","Bacteria;Terrabacteria group;Deinococcus-Thermus","DSM 11300","SAMN02598303","PRJNA13423","Complete",3.24702,3003,3141,,"representative",49
"Neisseria lactamica 020-06","Bacteria;Proteobacteria;Betaproteobacteria","020-06","SAMEA3138337","PRJNA13472","Complete",2.22061,2085,2355,,"representative",59
"Croceibacter atlanticus HTCC2559","Bacteria;FCB group;Bacteroidetes/Chlorobi group","HTCC2559","SAMN02603922","PRJNA13570","Complete",2.95296,2646,2703,,"representative",36
"Nitrosospira multiformis ATCC 25196","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 25196","SAMN02598322","PRJNA13912","Complete",3.23431,2817,2939,,"representative",43
"Aeromonas salmonicida subsp. salmonicida A449","Bacteria;Proteobacteria;Gammaproteobacteria","A449","SAMN02603664","PRJNA16723","Complete",5.04054,4366,4792,,"representative",108
"Bartonella tribocorum CIP 105476","Bacteria;Proteobacteria;Alphaproteobacteria","type strain:506 = CIP 105476","SAMEA3138339","PRJNA28109","Complete",2.6424,2208,2421,,"representative",42
"Acetoanaerobium sticklandii","Bacteria;Terrabacteria group;Firmicutes","DSM 519","SAMEA3138340","PRJNA28575","Complete",2.71546,2487,2591,,"representative",59
"Photorhabdus asymbiotica","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC43949","SAMEA2272210","PRJEA30577","Complete",5.09414,4298,4570,,,87
"Aliivibrio salmonicida LFI1238","Bacteria;Proteobacteria;Gammaproteobacteria","LFI1238","SAMEA1705917","PRJEA30703","Complete",4.65566,4004,4494,,"representative",104
"'Nostoc azollae' 0708","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","0708","SAMN02598476","PRJNA30807","Complete",5.48614,3669,5319,,"representative",42
"Mobiluncus curtisii ATCC 43063","Bacteria;Terrabacteria group;Actinobacteria","ATCC 43063","SAMN00001505","PRJNA31519","Complete",2.14648,1832,1906,,"representative",46
"Vibrio parahaemolyticus RIMD 2210633","Bacteria;Proteobacteria;Gammaproteobacteria","O3:K6 substr. RIMD 2210633","SAMD00058707","PRJNA360","Complete",5.16577,4831,4991,"human","reference",126
"Rhodopirellula baltica SH 1","Bacteria;PVC group;Planctomycetes","1","SAMEA3138332","PRJNA413","Complete",7.14558,7325,7405,,"reference",76
"Wolinella succinogenes DSM 1740","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSMZ 1740","SAMEA3138333","PRJNA445","Complete",2.11036,2040,2109,,"representative",40
"Photorhabdus laumondii subsp. laumondii TTO1","Bacteria;Proteobacteria;Gammaproteobacteria","TTO1","SAMEA3138334","PRJNA9605","Complete",5.68899,4669,4977,,,84
"Erwinia billingiae Eb661","Bacteria;Proteobacteria;Gammaproteobacteria","Eb661","SAMEA2272131","PRJEA34781","Complete",5.37227,4828,5010,,"representative",77
"Methanohalobium evestigatum Z-7303","Archaea;Euryarchaeota;Stenosarchaea group","Z-7303","SAMN00015125","PRJNA37945","Complete",2.40623,2267,2396,,"representative",49
"Rhodococcus hoagii 103S","Bacteria;Terrabacteria group;Actinobacteria","103S","SAMEA2272695","PRJEA41335","Complete",5.04317,4540,4649,,"representative",52
"Bacillus amyloliquefaciens DSM 7","Bacteria;Terrabacteria group;Firmicutes","DSM 7","SAMEA2272088","PRJEA41719","Complete",3.9802,3870,4120,,"representative",94
"Acinetobacter oleivorans DR1","Bacteria;Proteobacteria;Gammaproteobacteria","DR1","SAMN02603211","PRJNA46105","Complete",4.15254,3832,3999,,,71
"Nitrospira defluvii","Bacteria;Nitrospirae;Nitrospira","","SAMEA2272290","PRJEA46433","Complete",4.31708,3945,4030,,"representative",46
"Amycolatopsis mediterranei U32","Bacteria;Terrabacteria group;Actinobacteria","U32","SAMN02603409","PRJNA46889","Complete",10.2367,9228,9292,,"reference",52
"Leuconostoc gelidum subsp. gasicomitatum LMG 18811","Bacteria;Terrabacteria group;Firmicutes","type strain: LMG 18811","SAMEA2272393","PRJEA48123","Complete",1.95408,1849,1967,,"representative",66
"Halalkalicoccus jeotgali B3","Archaea;Euryarchaeota;Stenosarchaea group","B3","SAMN02603490","PRJNA49517","Complete",3.69865,3679,3810,,"representative",48
"Glutamicibacter arilaitensis Re117","Bacteria;Terrabacteria group;Actinobacteria","Re117","SAMEA2272213","PRJEA50353","Complete",3.91819,3464,3670,,"representative",64
"Stigmatella aurantiaca DW4/3-1","Bacteria;Proteobacteria;delta/epsilon subdivisions","DW4/3-1","SAMN02603592","PRJNA52561","Complete",10.2608,8123,8368,,"representative",49
"Dickeya dadantii 3937","Bacteria;Proteobacteria;Gammaproteobacteria","3937","SAMN02603422","PRJNA30","Complete",4.9228,4244,4485,"plants",,75
"Anaerolinea thermophila UNI-1","Bacteria;Terrabacteria group;Chloroflexi","UNI-1","SAMD00061114","PRJNA60099","Complete",3.53238,3105,3184,,"representative",49
"Treponema succinifaciens DSM 2489","Bacteria;Spirochaetes;Spirochaetia","DSM 2489","SAMN00713601","PRJNA50825","Complete",2.89743,2662,2792,,"representative",49
"Desulfobacca acetoxidans DSM 11109","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 11109","SAMN00713603","PRJNA51777","Complete",3.28254,2888,2988,,"representative",46
"Marinithermus hydrothermalis DSM 14884","Bacteria;Terrabacteria group;Deinococcus-Thermus","DSM 14884","SAMN00713602","PRJNA50827","Complete",2.26917,2174,2281,,"representative",50
"Coriobacterium glomerans PW2","Bacteria;Terrabacteria group;Actinobacteria","PW2","SAMN00713604","PRJNA42699","Complete",2.11568,1784,1856,,"representative",46
"Carnobacterium sp. 17-4","Bacteria;Terrabacteria group;Firmicutes","17-4","SAMN02603266","PRJNA60607","Complete",2.6854,2463,2593,,,67
"Intrasporangium calvum DSM 43043","Bacteria;Terrabacteria group;Actinobacteria","DSM 43043","SAMN00713569","PRJNA43527","Complete",4.02438,3554,3685,,"representative",48
"Mycoplasma yeatsii GM274B","Bacteria;Terrabacteria group;Tenericutes","GM274B","SAMN02700145","PRJNA46457","Complete",0.895051,735,788,,"representative",30
"Candidatus Nitrosopumilus piranensis","Archaea;TACK group;Thaumarchaeota","D3C","SAMN03257648","PRJNA269924","Complete",1.71308,2161,2216,,,44
"Chlamydia pecorum E58","Bacteria;PVC group;Chlamydiae","E58","SAMN02603383","PRJNA62893","Complete",1.1062,934,985,,"representative",38
"Paraburkholderia rhizoxinica HKI 454","Bacteria;Proteobacteria;Betaproteobacteria","HKI 454","SAMEA2272497","PRJEA51915","Complete",3.75014,2970,3341,,"representative",47
"Verrucosispora maris AB-18-032","Bacteria;Terrabacteria group;Actinobacteria","AB-18-032","SAMN02603167","PRJNA59863","Complete",6.73227,5823,6049,,"representative",50
"Methanothrix soehngenii GP6","Archaea;Euryarchaeota;Stenosarchaea group","GP6","SAMN02604263","PRJNA63185","Complete",3.02664,2899,3030,,"representative",45
"Candidatus Pelagibacter sp. IMCC9063","Bacteria;Proteobacteria;Alphaproteobacteria","IMCC9063","SAMN02603337","PRJNA62303","Complete",1.28473,1308,1391,,,31
"Pseudomonas brassicacearum subsp. brassicacearum NFM421","Bacteria;Proteobacteria;Gammaproteobacteria","NFM421","SAMN02603052","PRJEA63495","Complete",6.84325,6009,6209,,,65
"Alicycliphilus denitrificans K601","Bacteria;Proteobacteria;Betaproteobacteria","K601","SAMN00713606","PRJNA50751","Complete",5.07075,4682,4867,,"representative",54
"Metallosphaera cuprina Ar-4","Archaea;TACK group;Crenarchaeota","Ar-4","SAMN02603221","PRJNA65497","Complete",1.84035,1894,1968,,"representative",45
"Aeromonas veronii B565","Bacteria;Proteobacteria;Gammaproteobacteria","B565","SAMN02603940","PRJNA63671","Complete",4.55178,4018,4199,,,101
"Sphaerochaeta coccoides DSM 17374","Bacteria;Spirochaetes;Spirochaetia","DSM 17374","SAMN00713608","PRJNA48121","Complete",2.2273,1846,1918,,"representative",47
"Selenomonas sputigena ATCC 35185","Bacteria;Terrabacteria group;Firmicutes","ATCC 35185","SAMN00713607","PRJNA51247","Complete",2.56836,2287,2384,,"representative",53
"Legionella longbeachae NSW150","Bacteria;Proteobacteria;Gammaproteobacteria","NSW150","SAMEA2272007","PRJEA39579","Complete",4.14916,3478,3609,"human","representative",46
"Nitrosococcus watsonii C-113","Bacteria;Proteobacteria;Gammaproteobacteria","C-113","SAMN02598531","PRJNA40331","Complete",3.37329,2925,3165,,"representative",45
"Dehalogenimonas lykanthroporepellens BL-DC-9","Bacteria;Terrabacteria group;Chloroflexi","BL-DC-9","SAMN02598529","PRJNA40221","Complete",1.68651,1650,1732,,"representative",46
"Clostridium ljungdahlii DSM 13528","Bacteria;Terrabacteria group;Firmicutes","DSM 13528","SAMN02603159","PRJNA13492","Complete",4.63007,4117,4305,,,70
"Olsenella uli DSM 7084","Bacteria;Terrabacteria group;Actinobacteria","DSM 7084","SAMN00016989","PRJNA36641","Complete",2.0519,1737,1812,,"representative",49
"Desulfarculus baarsii DSM 2075","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 2075","SAMN02598521","PRJNA37955","Complete",3.65573,3244,3319,,"representative",46
"Prevotella melaninogenica ATCC 25845","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 25845","SAMN00001916","PRJNA31383","Complete",3.16828,2360,2488,,,48
"Brevundimonas subvibrioides ATCC 15264","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 15264","SAMN00007485","PRJNA36643","Complete",3.44526,3277,3351,,"representative",46
"[Clostridium] saccharolyticum WM1","Bacteria;Terrabacteria group;Firmicutes","WM1","SAMN00017134","PRJNA42097","Complete",4.66287,4170,4355,,"representative",68
"Thermosediminibacter oceani DSM 16646","Bacteria;Terrabacteria group;Firmicutes","DSM 16646","SAMN00713558","PRJNA30983","Complete",2.28003,2195,2322,,"representative",51
"Acetohalobium arabaticum DSM 5501","Bacteria;Terrabacteria group;Firmicutes","DSM 5501","SAMN00016993","PRJNA32769","Complete",2.4696,2274,2398,,"representative",67
"Acidilobus saccharovorans 345-15","Archaea;TACK group;Crenarchaeota","345-15","SAMN02603091","PRJNA39927","Complete",1.49645,1478,1531,,"representative",46
"Caldicellulosiruptor obsidiansis OB47","Bacteria;Terrabacteria group;Firmicutes","OB47","SAMN00713559","PRJNA40355","Complete",2.53234,2167,2369,,,46
"Micromonospora aurantiaca ATCC 27029","Bacteria;Terrabacteria group;Actinobacteria","ATCC 27029","SAMN00006196","PRJNA37957","Complete",7.02556,6177,6337,,"representative",51
"Gallionella capsiferriformans ES-2","Bacteria;Proteobacteria;Betaproteobacteria","ES-2","SAMN00002572","PRJNA32827","Complete",3.16247,2864,2954,,"representative",50
"Clostridium cellulovorans 743B","Bacteria;Terrabacteria group;Firmicutes","743B","SAMN00002614","PRJNA32609","Complete",5.26222,4261,4435,,"representative",80
"Methanothermobacter marburgensis str. Marburg","Archaea;Euryarchaeota;Methanomada group","Marburg","SAMN02603260","PRJNA40103","Complete",1.63914,1701,1771,,"representative",39
"Ignisphaera aggregans DSM 17230","Archaea;TACK group;Crenarchaeota","DSM 17230","SAMN00016987","PRJNA33361","Complete",1.87595,1930,2039,,,47
"Candidatus Zinderia insecticola CARI","Bacteria;Proteobacteria;Betaproteobacteria","CARI","SAMN02604227","PRJNA51243","Complete",0.208564,206,236,,,25
"Sulfurimonas autotrophica DSM 16294","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 16294","SAMN00713560","PRJNA31347","Complete",2.1532,2140,2204,,"representative",43
"Methanolacinia petrolearia DSM 11571","Archaea;Euryarchaeota;Stenosarchaea group","","SAMN00017400","PRJNA40773","Complete",2.84329,2777,2870,,"representative",47
"Vulcanisaeta distributa DSM 14429","Archaea;TACK group;Crenarchaeota","DSM 14429","SAMN00017002","PRJNA32589","Complete",2.37414,2420,2504,,,43
"Pantoea vagans C9-1","Bacteria;Proteobacteria;Gammaproteobacteria","C9-1","SAMN02603237","PRJNA43531","Complete",4.88834,4353,4613,,,77
"Ilyobacter polytropus DSM 2926","Bacteria;Fusobacteria;Fusobacteriia","DSM 2926","SAMN00116458","PRJNA32577","Complete",3.13231,2887,3017,,"representative",79
"[Enterobacter] lignolyticus SCF1","Bacteria;Proteobacteria;Gammaproteobacteria","SCF1","SAMN00116754","PRJNA53533","Complete",4.81405,4412,4601,,"representative",82
"Bifidobacterium bifidum PRL2010","Bacteria;Terrabacteria group;Actinobacteria","PRL2010","SAMN02603510","PRJNA42863","Complete",2.21466,1706,1791,,"reference",52
"Methanothermus fervidus DSM 2088","Archaea;Euryarchaeota;Methanomada group","DSM 2088","SAMN02232040","PRJNA33689","Complete",1.24334,1296,1358,,"representative",41
"Frankia inefficax","Bacteria;Terrabacteria group;Actinobacteria","EuI1c","SAMN02232023","PRJNA37913","Complete",8.81578,6972,7195,,"representative",46
"Leadbetterella byssophila DSM 17132","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 17132","SAMN00191237","PRJNA38283","Complete",4.05965,3486,3634,,"representative",41
"Halanaerobium hydrogeniformans","Bacteria;Terrabacteria group;Firmicutes","","SAMN02232026","PRJNA43059","Complete",2.61312,2311,2441,,"representative",57
"Mycoplasma bovis PG45","Bacteria;Terrabacteria group;Tenericutes","PG45","SAMN02604028","PRJNA12525","Complete",1.0034,779,870,,"representative",34
"Calditerrivibrio nitroreducens DSM 19672","Bacteria;Deferribacteres;Deferribacteres","DSM 19672","SAMN00102793","PRJNA49523","Complete",2.21655,2099,2164,,"representative",40
"Marivirga tractuosa DSM 4126","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 4126","SAMN00138949","PRJNA37901","Complete",4.51649,3740,3813,,"representative",39
"Candidatus Liberibacter solanacearum CLso-ZC1","Bacteria;Proteobacteria;Alphaproteobacteria","CLso-ZC1","SAMN02604277","PRJNA39273","Complete",1.25828,1048,1168,"plants",,45
"Sulfuricurvum kujiense DSM 16994","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 16994","SAMN00713566","PRJNA43399","Complete",2.81936,2772,2852,,"representative",49
"Oceanithermus profundus DSM 14977","Bacteria;Terrabacteria group;Deinococcus-Thermus","DSM 14977","SAMN00138957","PRJNA40223","Complete",2.43929,2360,2427,,"representative",46
"Pseudoalteromonas sp. SM9913","Bacteria;Proteobacteria;Gammaproteobacteria","","SAMN02603856","PRJNA39311","Complete",4.03767,3518,3677,,,62
"Mycoplasma fermentans M64","Bacteria;Terrabacteria group;Tenericutes","M64","SAMN02604339","PRJNA13415","Complete",1.11875,938,1015,"human","representative",35
"Bacteroides helcogenes P 36-108","Bacteria;FCB group;Bacteroidetes/Chlorobi group","P 36-108","SAMN00138952","PRJNA41913","Complete",3.99891,3187,3376,,,67
"Nitratifractor salsuginis DSM 16511","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 16511","SAMN00713578","PRJNA46883","Complete",2.10128,2089,2161,,"representative",43
"Cellulophaga algicola DSM 14237","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 14237","SAMN00190054","PRJNA41529","Complete",4.88835,4156,4275,,"representative",44
"Isosphaera pallida ATCC 43644","Bacteria;PVC group;Planctomycetes","ATCC 43644","SAMN00138929","PRJNA32825","Complete",5.5293,3893,4006,,"representative",47
"Desulfurococcus mucosus DSM 2162","Archaea;TACK group;Crenarchaeota","DSM 2162","SAMN00103627","PRJNA48641","Complete",1.31464,1345,1404,,"representative",45
"Deinococcus maricopensis DSM 21211","Bacteria;Terrabacteria group;Deinococcus-Thermus","DSM 21211","SAMN00713579","PRJNA43461","Complete",3.49853,3242,3333,,"representative",52
"Desulfobulbus propionicus DSM 2032","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 2032","SAMN00713581","PRJNA32993","Complete",3.85187,3283,3408,,"representative",48
"Thermus scotoductus SA-01","Bacteria;Terrabacteria group;Deinococcus-Thermus","SA-01","SAMN02603261","PRJNA46293","Complete",2.35519,2396,2499,,"representative",48
"Rahnella sp. Y9602","Bacteria;Proteobacteria;Gammaproteobacteria","Y9602","SAMN00713582","PRJNA50601","Complete",5.61425,5084,5245,,,76
"Odoribacter splanchnicus DSM 20712","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 220712","SAMN00713588","PRJNA43469","Complete",4.39229,3566,3753,"human","representative",60
"Deinococcus proteolyticus MRP","Bacteria;Terrabacteria group;Deinococcus-Thermus","MRP","SAMN00016729","PRJNA41911","Complete",2.88684,2645,2767,,"representative",46
"Bacteroides salanitronis DSM 18170","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 18170","SAMN00713589","PRJNA40055","Complete",4.30866,3626,3809,,"representative",82
"Cellulophaga lytica DSM 7489","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 7489","SAMN00713590","PRJNA50743","Complete",3.76594,3248,3324,,"representative",40
"Syntrophobotulus glycolicus DSM 8271","Bacteria;Terrabacteria group;Firmicutes","DSM 8271","SAMN00216969","PRJNA38111","Complete",3.40674,3264,3395,,"representative",54
"Paludibacter propionicigenes WB4","Bacteria;FCB group;Bacteroidetes/Chlorobi group","WB4","SAMN00016731","PRJNA42009","Complete",3.6855,2979,3055,,"representative",53
"Mycoplasma leachii PG50","Bacteria;Terrabacteria group;Tenericutes","PG50","SAMN02603458","PRJNA27715","Complete",1.00895,820,903,,,30
"Mycolicibacterium gilvum Spyr1","Bacteria;Terrabacteria group;Actinobacteria","Spyr1","SAMN00713568","PRJNA28521","Complete",5.78329,5322,5530,,"representative",47
"Variovorax paradoxus EPS","Bacteria;Proteobacteria;Betaproteobacteria","EPS","SAMN00149467","PRJNA43457","Complete",6.55006,5917,6055,,"representative",58
"Thermovibrio ammonificans HB-1","Bacteria;Aquificae;Aquificae","HB-1","SAMN00713575","PRJNA49403","Complete",1.75953,1801,1863,,"representative",46
"Desulfurobacterium thermolithotrophum DSM 11699","Bacteria;Aquificae;Aquificae","DSM 11699","SAMN00713591","PRJNA51497","Complete",1.54197,1508,1588,,"representative",43
"Streptomyces coelicolor A3(2)","Bacteria;Terrabacteria group;Actinobacteria","A3(2)","SAMEA1705940","PRJNA242","Complete",9.05485,8152,8299,,"reference",65
"Cupriavidus pinatubonensis JMP134","Bacteria;Proteobacteria;Betaproteobacteria","JMP134","SAMN02598255","PRJNA10646","Complete",7.25529,6492,6708,,,65
"Paracoccus denitrificans PD1222","Bacteria;Proteobacteria;Alphaproteobacteria","PD1222","SAMN02598290","PRJNA13020","Complete",5.23619,4993,5174,,"representative",54
"Trichormus variabilis ATCC 29413","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","ATCC 29413","SAMN02598253","PRJNA10642","Complete",7.10575,5676,5941,,,47
"Thermococcus barophilus MP","Archaea;Euryarchaeota;Thermococci","MP","SAMN02603625","PRJNA19379","Complete",2.06424,2182,2256,,"representative",46
"Gallibacterium anatis UMN179","Bacteria;Proteobacteria;Gammaproteobacteria","UMN179","SAMN02604222","PRJNA65483","Complete",2.69414,2403,2555,,"representative",56
"Pseudonocardia dioxanivorans CB1190","Bacteria;Terrabacteria group;Actinobacteria","CB1190","SAMN00713596","PRJNA40557","Complete",7.30399,6684,6899,,"representative",46
"Thermodesulfobium narugense DSM 14796","Bacteria;Terrabacteria group;Firmicutes","DSM 14796","SAMN00713612","PRJNA46673","Complete",1.89887,1825,1891,,"representative",46
"Porphyromonas asaccharolytica DSM 20707","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 20707","SAMN00713611","PRJNA51745","Complete",2.18637,1688,1785,"human","representative",47
"Treponema brennaborense DSM 12168","Bacteria;Spirochaetes;Spirochaetia","DSM 12168","SAMN00713613","PRJNA53887","Complete",3.05558,2609,2686,,"representative",45
"Glaciecola sp. 4H-3-7+YE-5","Bacteria;Proteobacteria;Gammaproteobacteria","4H-3-7+YE-5","SAMN00713610","PRJNA62887","Complete",5.39359,4556,4706,,,60
"Haliscomenobacter hydrossis DSM 1100","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 1100","SAMN00713614","PRJNA48289","Complete",8.77165,6750,6927,,"representative",53
"Cellulomonas fimi ATCC 484","Bacteria;Terrabacteria group;Actinobacteria","ATCC 484","SAMN00713615","PRJNA33691","Complete",4.26634,3752,3851,,"representative",45
"Acidianus hospitalis W1","Archaea;TACK group;Crenarchaeota","W1","SAMN02602984","PRJNA60875","Complete",2.13765,2332,2488,,"representative",47
"Mahella australiensis 50-1 BON","Bacteria;Terrabacteria group;Firmicutes","50-1 BON","SAMN02232034","PRJNA42243","Complete",3.13597,2881,2978,,"representative",47
"Pyrococcus sp. NA2","Archaea;Euryarchaeota;Thermococci","NA2","SAMN02603477","PRJNA65431","Complete",1.86132,1924,2054,,,46
"Thermoanaerobacter brockii subsp. finnii Ako-1","Bacteria;Terrabacteria group;Firmicutes","Ako-1","SAMN00713580","PRJNA32585","Complete",2.34482,2219,2367,,,56
"Asticcacaulis excentricus CB 48","Bacteria;Proteobacteria;Alphaproteobacteria","CB 48","SAMN00002561","PRJNA32595","Complete",4.30878,3755,3855,,"representative",49
"Micromonospora sp. L5","Bacteria;Terrabacteria group;Actinobacteria","L5","SAMN00008473","PRJNA38291","Complete",6.96253,6097,6270,,,52
"Hoyosella subflava DQS3-9A1","Bacteria;Terrabacteria group;Actinobacteria","DQS3-9A1","SAMN02603151","PRJNA63351","Complete",4.86349,4417,4550,,"representative",45
"Marinomonas posidonica IVIA-Po-181","Bacteria;Proteobacteria;Gammaproteobacteria","IVIA-Po-181","SAMN00713622","PRJNA52545","Complete",3.89994,3483,3614,,"representative",80
"Methanotorris igneus Kol 5","Archaea;Euryarchaeota;Methanomada group","Kol 5","SAMN00713627","PRJNA51821","Complete",1.8542,1751,1845,,"representative",35
"Delftia sp. Cs1-4","Bacteria;Proteobacteria;Betaproteobacteria","Cs1-4","SAMN00713625","PRJNA46303","Complete",6.68584,5802,5973,,,81
"Desulfotomaculum nigrificans CO-1-SRB","Bacteria;Terrabacteria group;Firmicutes","CO-1-SRB","SAMN00713626","PRJNA50757","Complete",2.89226,2647,2844,,"representative",65
"Serratia sp. AS12","Bacteria;Proteobacteria;Gammaproteobacteria","AS12","SAMN00713623","PRJNA60453","Complete",5.44301,4974,5153,,,85
"Thermoanaerobacterium xylanolyticum LX-11","Bacteria;Terrabacteria group;Firmicutes","LX-11","SAMN00204087","PRJNA50295","Complete",2.53436,2325,2459,,"representative",57
"Alteromonas naphthalenivorans","Bacteria;Proteobacteria;Gammaproteobacteria","SN2","SAMN02603134","PRJNA59947","Complete",4.97215,4202,4373,,,64
"Pseudomonas fulva 12-X","Bacteria;Proteobacteria;Gammaproteobacteria","12-X","SAMN00713619","PRJNA49675","Complete",4.92077,4425,4549,,"representative",64
"Streptococcus parauberis KCTC 11537","Bacteria;Terrabacteria group;Firmicutes","KCTC 11537","SAMN02603301","PRJNA61187","Complete",2.14389,1829,2222,,"representative",60
