rRNA16S,Habitat,Oxygen,Motility,Spore,Pigment,Shape,Aggregation,Gram,GC,Length,Width,pH_optimum,Temp_optimum,Salt_optimum
EU741036,other,obligate aerobe,flagella,yes,yes,rod,NA,positive,53.3,2.55,0.85,NA,30,NA
FJ715930,other,anaerobic,non-motile,no,yes,cocci,NA,negative,NA,NA,0.4,NA,NA,NA
EU545982,soil,facultative anaerobe,"motile, but unspecified structure",no,NA,NA,NA,positive,NA,NA,NA,NA,33.5,NA
FJ158840,soil,facultative anaerobe,non-motile,no,NA,cocci,NA,positive,36.8,NA,0.6,7.25,32.5,NA
EU581835,other,NA,non-motile,yes,NA,NA,NA,positive,46.4,3.5,0.65,9,37,19
AB362828,freshwater,obligate aerobe,flagella,yes,yes,rod,NA,negative,58.6,4,0.6,NA,40,1
FJ514932,other,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,35,2.5,0.8,7,30,5
FN298444,other,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,NA,NA,0.9,NA,30,0
FN298445,other,obligate aerobe,non-motile,yes,NA,rod,NA,positive,NA,NA,0.9,NA,33.5,2.5
EF195126,hotspring,anaerobic,non-motile,yes,NA,rod,NA,NA,34.2,2.5,0.4,6.8,69,0.5
EU709020,other,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,35.3,3,0.85,7,36,3
FJ481102,other,anaerobic,"motile, but unspecified structure",yes,NA,rod,NA,negative,35.4,4.25,1,7,50,NA
FN376846,other,facultative anaerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,44.1,2.75,0.9,7.5,32.5,8.75
AM982516,other,obligate aerobe,"motile, but unspecified structure",no,NA,rod,NA,positive,47.2,2.6,0.6,8,37,NA
JF802205,other,anaerobic,flagella,NA,NA,ovoid/coccobacillus,NA,negative,64.4,1.1,0.55,6.5,50,2.25
HM777012,soil,obligate aerobe,flagella,NA,yes,rod,NA,negative,66.7,1.6,0.5,7.5,29,0
FR822983,soil,NA,non-motile,no,yes,rod,NA,negative,NA,NA,2.75,NA,28,3.5
FR774992,plant associated,NA,"motile, but unspecified structure",NA,yes,rod,NA,negative,66.9,1.35,0.8,NA,NA,NA
FR774993,plant associated,NA,"motile, but unspecified structure",NA,yes,rod,NA,negative,66.4,1.6,0.7,NA,NA,NA
FR774994,plant associated,NA,"motile, but unspecified structure",NA,yes,rod,NA,negative,65,1.25,0.8,NA,NA,NA
AM884149,other,obligate aerobe,NA,no,yes,rod,NA,negative,60.6,NA,NA,7.5,NA,NA
AM884145,other,obligate aerobe,NA,no,yes,rod,NA,negative,58.7,NA,NA,7.5,NA,NA
FR828479,freshwater sediment,anaerobic,non-motile,NA,yes,rod,NA,NA,63.4,1.4,0.7,7.5,28,2
GU295970,freshwater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,33.3,1,0.5,7.75,25,0
HQ020488,wastewater,anaerobic,non-motile,no,yes,rod,NA,positive,41.4,2.5,0.75,7,37.5,NA
HQ336972,other,anaerobic,flagella,no,NA,rod,NA,negative,47.8,1.25,0.5,6,75,NA
NA,other,NA,NA,yes,yes,ovoid/coccobacillus,chain,NA,NA,6.5,2.5,NA,NA,NA
HM748599,soil,obligate aerobe,NA,yes,no,rod,NA,positive,72.8,NA,1,NA,NA,NA
JN656710,soil,obligate aerobe,NA,yes,no,rod,NA,positive,68.5,NA,NA,7.5,28,NA
HE585693,other,obligate aerobe,NA,no,yes,rod,NA,positive,NA,2.5,1.1,NA,NA,NA
HE577171,soil,obligate aerobe,NA,yes,no,NA,NA,positive,71.5,NA,NA,NA,NA,NA
HQ657322,soil,obligate aerobe,non-motile,no,yes,rod,NA,positive,71.8,1.8,0.4,7,30,NA
JF806526,other,obligate aerobe,non-motile,no,yes,rod,NA,positive,69.2,0.65,0.25,7.25,30,NA
JF507603,other,NA,non-motile,NA,yes,cocci,NA,positive,56.2,NA,1.1,8,28,NA
AB663558,plant associated,obligate aerobe,NA,yes,yes,NA,NA,positive,71,NA,NA,8,28,NA
AB663559,plant associated,obligate aerobe,NA,yes,yes,NA,NA,positive,72,NA,NA,8,27,NA
AB663560,plant associated,obligate aerobe,NA,yes,yes,NA,NA,positive,73,NA,NA,8,30,NA
GU784868,other,microaerophile,non-motile,NA,yes,rod,NA,variable,58.8,1.15,0.35,NA,NA,NA
HQ657321,soil,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,NA,positive,65,NA,NA,7,28,0.5
FJ796700,other,anaerobic,NA,yes,NA,rod,NA,positive,35,15,NA,6.75,NA,NA
HQ877677,human - mouth,anaerobic,NA,yes,NA,rod,NA,positive,38,NA,NA,6.75,NA,NA
AB674956,marine sediment,anaerobic,non-motile,no,yes,rod,NA,positive,64.5,0.7,4,7.5,28,0
AB674957,marine sediment,anaerobic,non-motile,no,yes,rod,NA,positive,62.4,0.65,3,7.5,28,0
JN008111,marine sediment,obligate aerobe,non-motile,NA,yes,rod,NA,positive,67.7,NA,NA,9,28,0
AM747234,food product,facultative anaerobe,"motile, but unspecified structure",yes,yes,rod,chain,positive,35.8,1,NA,NA,33.5,NA
FR681902,other,facultative anaerobe,non-motile,no,NA,rod,chain,positive,45.4,1.19,0.47,6.5,41,1.5
HQ433453,hypersaline environment,obligate aerobe,non-motile,yes,yes,rod,NA,positive,38.9,2.45,0.85,7,35,6.25
HM626613,other,anaerobic,non-motile,NA,yes,rod,NA,negative,36.2,NA,NA,NA,NA,NA
NA,plant associated,obligate aerobe,non-motile,no,yes,rod,NA,negative,61.9,1.6,0.45,7.75,39,0.25
HM362432,plant associated,obligate aerobe,flagella,no,yes,rod,NA,negative,62.9,1.6,0.45,7.75,41,0.5
HM362433,plant associated,obligate aerobe,flagella,no,yes,rod,NA,negative,62.6,1.6,0.45,7.75,35,0.25
AB627071,plant associated,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,67.2,1.99,0.9,NA,NA,NA
JN411093,soil,NA,non-motile,no,yes,rod,NA,negative,55.3,3,0.7,7,32.5,0.5
HQ596528,seawater,obligate aerobe,non-motile,NA,yes,ovoid/coccobacillus,NA,negative,66.4,2.25,0.6,7.5,30,2
JF748732,other,facultative anaerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,48.2,1.1,0.55,7.5,37,NA
HM583568,other,obligate aerobe,non-motile,NA,yes,cocci,NA,negative,61.3,0.9,0.7,NA,NA,NA
HM583567,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,60.7,1.25,0.8,7,4.5,NA
HQ316710,plant associated,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,61.2,1.65,0.53,7,28,NA
HE573889,other,facultative anaerobe,non-motile,no,no,rod,chain,positive,42.8,2.65,0.55,6.5,37,2.5
AM931441,other,obligate aerobe,non-motile,yes,no,rod,NA,positive,39.5,32,0.5,4,37,3
AM931442,other,obligate aerobe,non-motile,yes,no,rod,NA,positive,39.5,32,0.5,4,37,3
HQ433437,hypersaline environment,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,35.2,0.5,5.5,7,35,7.5
DQ131909,other,facultative aerobe,non-motile,NA,yes,rod,NA,negative,63,1,1.6,7,37,10
GU397426,other,facultative aerobe,non-motile,NA,yes,rod,NA,negative,63.3,2,1.6,7,30,11.5
GU397431,other,facultative aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,62.8,2,1.6,6.75,30,11.5
HM352832,other,facultative aerobe,non-motile,NA,yes,rod,NA,negative,62.6,2,1.6,7.25,30,11.5
HQ439186,plant associated,obligate aerobe,non-motile,no,yes,rod,NA,negative,66.1,0.45,2.25,6.25,28,0.25
AY676115,other,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,65,0.4,0.9,7.4,25,0
DQ486493,other,obligate aerobe,flagella,no,NA,rod,NA,negative,63.6,1.05,0.6,7.6,30,3
JN662389,soil,obligate aerobe,NA,NA,yes,cocci,NA,negative,NA,NA,1.75,NA,28,6.5
GU358699,soil,obligate aerobe,non-motile,no,yes,rod,NA,negative,36.6,1.6,0.75,7.5,30,NA
JF803808,soil,obligate aerobe,non-motile,no,yes,rod,NA,negative,47,1.75,0.45,7,30,0
JN029805,wastewater,anaerobic,non-motile,no,yes,rod,NA,negative,37.2,1.95,0.85,7.25,36,0
HQ191474,freshwater sediment,anaerobic,"motile, but unspecified structure",no,yes,rod,NA,positive,39.5,5.5,0.4,9.7,36,3.25
FR774044,estuarine water,obligate aerobe,non-motile,no,yes,rod,NA,negative,46.1,1.5,0.6,7.5,33.5,3
HQ329187,soil,obligate aerobe,non-motile,no,yes,rod,NA,negative,37.4,1,0.5,7.5,28,0.5
JF346116,other,anaerobic,flagella,no,NA,ovoid/coccobacillus,NA,negative,52,1.25,0.55,7,74,NA
NA,soil,obligate aerobe,NA,NA,yes,ovoid/coccobacillus,NA,NA,NA,4.3,3.5,NA,NA,NA
NA,other,obligate aerobe,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,other,obligate aerobe,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,soil,obligate aerobe,NA,yes,yes,ovoid/coccobacillus,NA,NA,NA,6.5,4.5,NA,NA,NA
NA,soil,obligate aerobe,NA,no,yes,ovoid/coccobacillus,NA,NA,NA,5,3.5,NA,NA,NA
NA,other,obligate aerobe,NA,NA,yes,ovoid/coccobacillus,NA,NA,NA,2.7,1.5,NA,NA,NA
FN994890,soil,facultative anaerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,61.5,2.25,0.75,7,22.5,0
NA,other,obligate aerobe,NA,yes,yes,ovoid/coccobacillus,NA,NA,NA,6,4,NA,NA,NA
NA,other,obligate aerobe,NA,no,yes,ovoid/coccobacillus,NA,NA,NA,3.75,3,NA,NA,NA
GU217690,other,obligate aerobe,non-motile,no,yes,rod,NA,positive,65.6,0.35,0.3,NA,30,NA
FN658654,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,72.4,NA,0.4,NA,NA,NA
FN658656,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,71.8,NA,0.4,NA,NA,NA
FJ347524,soil,NA,NA,yes,yes,NA,NA,positive,73.3,NA,NA,NA,NA,NA
FR832425,other,obligate aerobe,non-motile,no,yes,cocci,NA,positive,67.7,NA,1.15,NA,NA,NA
JN004270,other,facultative anaerobe,non-motile,no,yes,cocci,chain,positive,40,NA,0.75,NA,NA,NA
GU645013,wastewater,anaerobic,flagella,no,NA,rod,NA,negative,28.2,4.4,0.45,7.5,37,1.5
GQ250431,other,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,65.3,1.45,0.35,6.5,27.5,NA
AM712913,freshwater,facultative anaerobe,flagella,NA,yes,rod,NA,NA,71.3,2.5,0.85,6.75,30,0.25
HQ171439,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,55.7,0.4,0.75,8,27.5,2
HE590855,seawater,obligate aerobe,non-motile,NA,no,ovoid/coccobacillus,NA,NA,61.3,1,0.35,NA,NA,NA
JF811908,other,facultative anaerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,47.3,0.3,2.25,8,33.5,1
AM409365,freshwater sediment,obligate aerobe,non-motile,NA,yes,rod,NA,negative,63,1.5,0.65,7.5,29,NA
HM047743,other,obligate aerobe,non-motile,NA,yes,ovoid/coccobacillus,NA,negative,40.4,NA,1,7,28,1
HM159118,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,61,1.5,0.55,NA,28,NA
GU726750,soil,obligate aerobe,flagella,NA,yes,rod,NA,negative,56.2,2.45,1.25,7,34.5,6.25
HQ874629,plant associated,obligate aerobe,non-motile,NA,yes,rod,NA,negative,69.9,2.5,0.55,7,30,0
GU574708,other,obligate aerobe,flagella,NA,NA,rod,NA,negative,60.7,1.4,0.4,7.5,35,2.5
EU183319,freshwater,obligate aerobe,flagella,no,no,rod,NA,negative,47,3,0.4,8.3,30,1
JF831047,other,NA,"motile, but unspecified structure",NA,NA,rod,NA,negative,41.8,NA,NA,NA,NA,NA
JF316656,other,facultative anaerobe,"motile, but unspecified structure",NA,NA,ovoid/coccobacillus,NA,negative,44.3,2.09,0.86,8,33.5,3.75
EU741685,freshwater,facultative anaerobe,flagella,NA,yes,rod,NA,NA,65.4,1.75,0.6,8.75,30,2
JN167515,other,anaerobic,flagella,NA,yes,rod,NA,negative,50.5,2.75,0.85,7,24,3
EF687743,wastewater,NA,flagella,NA,NA,rod,NA,negative,46.1,0.95,0.5,NA,NA,NA
GU721026,freshwater,obligate aerobe,flagella,no,yes,rod,NA,negative,67.6,1.5,0.75,6.5,30,1.5
AB567741,bioreactor,NA,non-motile,NA,yes,cocci,NA,negative,49.5,NA,1.75,8,30,NA
AB563785,other,NA,non-motile,no,NA,ovoid/coccobacillus,NA,positive,63.4,NA,NA,7,50,NA
HQ449390,soil,obligate aerobe,non-motile,no,yes,rod,NA,negative,65.8,2.6,0.9,7,28,1
JN191172,hypersaline environment,NA,NA,NA,yes,rod,NA,negative,NA,1.5,0.54,NA,NA,NA
JF779685,freshwater,NA,non-motile,NA,yes,rod,NA,negative,NA,2,0.66,NA,NA,NA
EU159469,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,66.5,1.75,1.15,7.5,40,7.5
HQ436503,freshwater,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,NA,negative,68,1,0.6,7,27.5,NA
JF714701,marine sediment,obligate aerobe,flagella,NA,yes,rod,NA,negative,53.3,3,0.45,6.75,30,2.75
JQ080912,other,microaerophile,flagella,NA,NA,rod,NA,negative,44.9,1,0.45,5.5,35,3
JF999998,other,facultative anaerobe,non-motile,no,NA,rod,NA,negative,42.4,2.25,0.6,6.75,25,0
JF830803,marine sediment,obligate aerobe,non-motile,NA,yes,rod,NA,negative,32.4,3,1.4,8,30,2
FR871426,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,38.6,2.4,0.8,NA,25,NA
JF710262,soil,obligate aerobe,non-motile,NA,yes,rod,NA,negative,41.3,4.1,0.35,NA,27.5,NA
JN015213,soil,obligate aerobe,non-motile,no,NA,rod,NA,negative,40,2.15,0.9,7,33.5,NA
AB547446,other,facultative anaerobe,non-motile,NA,NA,ovoid/coccobacillus,NA,negative,37.5,NA,NA,NA,NA,NA
GQ339889,soil,obligate aerobe,non-motile,no,yes,cocci,NA,positive,64.5,NA,0.95,7.25,30,NA
JN695681,other,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,other,NA,NA,NA,yes,cocci,none,NA,NA,2.75,3.5,NA,NA,NA
NA,other,NA,NA,yes,yes,ovoid/coccobacillus,NA,NA,NA,6,4,NA,NA,NA
NA,other,NA,NA,NA,yes,ovoid/coccobacillus,NA,NA,NA,22.5,6.5,NA,NA,NA
NA,other,NA,NA,NA,yes,ovoid/coccobacillus,NA,NA,NA,15.5,5,NA,NA,NA
NA,other,NA,NA,NA,yes,ovoid/coccobacillus,NA,NA,NA,6.25,3.75,NA,NA,NA
NA,plant associated,NA,NA,no,NA,ovoid/coccobacillus,NA,NA,NA,3,2,NA,NA,NA
EU200685,other,obligate aerobe,NA,yes,yes,NA,NA,positive,72.6,NA,NA,7.5,28,NA
EU438907,soil,obligate aerobe,NA,yes,yes,NA,NA,positive,68.2,NA,NA,7.25,30,NA
EU438909,soil,obligate aerobe,NA,NA,yes,NA,NA,positive,69.3,NA,NA,NA,NA,NA
AB445453,other,obligate aerobe,NA,NA,yes,cocci,NA,NA,72,NA,1.35,6.85,26,0
AB445454,other,obligate aerobe,NA,NA,yes,cocci,clump,NA,73,NA,0.65,6,25,0
AB445455,other,obligate aerobe,NA,NA,yes,cocci,clump,NA,74,NA,0.65,6.5,25,0
AB445456,other,obligate aerobe,NA,NA,yes,cocci,clump,NA,75,NA,0.85,7.35,26.5,0
FJ607312,other,obligate aerobe,non-motile,NA,yes,cocci,NA,positive,65.2,NA,1.25,5.5,33.5,2
FM957483,human - mouth,obligate aerobe,non-motile,yes,no,NA,NA,positive,NA,NA,NA,NA,NA,NA
EU874389,other,obligate aerobe,flagella,yes,yes,rod,NA,variable,42.9,4.9,0.55,7.5,30,2
AB434284,other,obligate aerobe,non-motile,yes,yes,rod,NA,positive,37.4,1.4,0.6,9,30,NA
AB450762,other,NA,non-motile,yes,NA,rod,NA,positive,45.4,9,0.45,7.2,70,NA
AM941160,other,facultative anaerobe,non-motile,no,no,cocci,chain,positive,41.5,NA,0.87,NA,NA,NA
AB290830,other,anaerobic,non-motile,NA,NA,rod,NA,positive,48.3,20,0.75,NA,35,NA
EU257201,plant associated,facultative anaerobe,"motile, but unspecified structure",yes,yes,rod,NA,variable,55.1,4.15,0.72,7,28,NA
JN885197,seawater,obligate aerobe,non-motile,no,yes,rod,NA,negative,57.6,3.15,0.6,7.5,30,2
HE572577,freshwater sediment,anaerobic,flagella,NA,yes,rod,NA,negative,66.4,2.25,0.85,7.25,30,0
FJ790328,other,facultative anaerobe,"motile, but unspecified structure",NA,yes,rod,chain,negative,53.6,4,0.9,7.55,30,NA
JF728876,soil,obligate aerobe,flagella,no,yes,rod,NA,negative,65.9,0.4,0.7,6,32,0.7
FJ403243,marine sediment,obligate aerobe,flagella,no,yes,ovoid/coccobacillus,NA,negative,62,2.395,0.71,8.55,30,3
FJ943234,seawater,obligate aerobe,non-motile,NA,no,rod,NA,negative,59.6,1.2,0.5,8,25,2.75
FR851927,soil,anaerobic,flagella,NA,yes,rod,NA,NA,64.8,4,0.75,7.5,37.5,0
FR851928,soil,anaerobic,flagella,NA,yes,rod,NA,NA,66.2,3.5,0.9,7,42.5,0
AJ938026,freshwater,facultative anaerobe,non-motile,yes,no,rod,NA,NA,55.5,1.25,0.45,NA,32,0.25
EF363715,soil,obligate aerobe,non-motile,no,yes,rod,NA,negative,60.8,2.75,0.55,7.5,25,0.75
AB104447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DQ466075,bioreactor,facultative anaerobe,flagella,no,yes,rod,NA,negative,67.9,1.5,0.9,7,30,NA
EU428782,seawater,obligate aerobe,non-motile,NA,yes,rod,chain,negative,61.6,0.7,0.35,7.5,30,4
FN298515,other,obligate aerobe,non-motile,no,yes,rod,none,negative,68.6,2,NA,7.2,27.5,NA
EU728658,other,obligate aerobe,"motile, but unspecified structure",no,no,rod,NA,negative,71,3.25,0.65,6.6,30,0.5
JN415769,hotspring,obligate aerobe,flagella,no,yes,rod,NA,negative,64.4,NA,NA,6.75,47.5,0
HE574451,other,facultative anaerobe,"motile, but unspecified structure",no,NA,rod,none,negative,48.3,0.8,2.75,NA,28,1
AB021400,food product,facultative anaerobe,flagella,NA,yes,rod,NA,negative,44.3,1.75,1.3,NA,29,NA
JQ619994,food product,facultative anaerobe,flagella,NA,yes,rod,NA,negative,43.9,1.75,0.65,NA,29,NA
HE573746,marine sediment,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,55.2,2.5,0.4,7.75,33.5,1
FJ347759,other,obligate aerobe,flagella,NA,yes,rod,chain,NA,53.7,2.45,0.8,7,27.5,0
AB490804,other,anaerobic,non-motile,no,yes,ovoid/coccobacillus,chain,negative,55.2,2.4,0.6,7,37,0.5
AB490805,other,anaerobic,non-motile,no,yes,rod,chain,negative,42.4,10.25,1.15,7,37,0.5
FN295567,other,anaerobic,non-motile,no,yes,rod,NA,positive,NA,NA,NA,7,37,0.5
FJ472862,soil,obligate aerobe,NA,yes,yes,spirillum/corkscrew,chain,positive,71.1,1,NA,7.5,28,1.25
FM995611,other,obligate aerobe,non-motile,NA,yes,rod,NA,positive,68.3,1.9,0.4,7.1,27.5,2.5
EU484334,other,anaerobic,non-motile,no,yes,rod,NA,positive,NA,2.1,0.4,7,37,0.5
EU874389,other,obligate aerobe,flagella,yes,yes,rod,NA,variable,42.9,4.9,0.55,7.5,30,2
AB434284,other,obligate aerobe,non-motile,yes,yes,rod,NA,positive,37.4,1.4,0.6,9,30,NA
FJ805428,other,obligate aerobe,non-motile,yes,yes,ovoid/coccobacillus,NA,positive,68.7,0.8,0.7,8,27,2.5
AB450762,other,anaerobic,non-motile,yes,NA,rod,NA,positive,45.4,9,0.45,7.2,70,NA
AM941160,other,facultative anaerobe,non-motile,no,no,cocci,chain,positive,41.5,NA,0.4,NA,NA,NA
AB282889,other,facultative anaerobe,non-motile,no,yes,rod,NA,positive,48.5,3.5,0.5,NA,37,NA
EF397578,soil,obligate aerobe,flagella,NA,yes,rod,NA,negative,64,2.7,0.6,7,30,NA
AB454379,other,obligate aerobe,non-motile,yes,yes,NA,NA,positive,72.6,NA,0.5,7,27.5,0.75
FJ463881,other,facultative anaerobe,non-motile,NA,NA,ovoid/coccobacillus,NA,negative,42.5,NA,0.3,NA,NA,NA
EU878006,hypersaline environment,facultative anaerobe,flagella,NA,yes,rod,NA,negative,71.8,1.32,0.7,7.5,29,3
FJ230078,freshwater,NA,flagella,no,yes,rod,NA,negative,NA,3.25,0.65,9,30,NA
FJ917743,soil,anaerobic,non-motile,no,yes,rod,NA,positive,70,0.95,4.15,7,30,1.5
FJ822615,other,facultative anaerobe,non-motile,NA,yes,rod,NA,negative,40,14,NA,6.95,NA,3.5
FJ514934,other,obligate aerobe,NA,no,yes,rod,chain,positive,66.2,1.5,0.15,7,30,5
EU912487,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,positive,69.5,0.65,0.35,7.5,28,0.5
AB478415,hotspring,anaerobic,non-motile,no,no,rod,NA,negative,33.5,8.75,0.25,7.25,45,1
AB374522,other,anaerobic,"motile, but unspecified structure",yes,no,rod,NA,positive,47.5,5.5,0.65,4.75,35,0
EU621902,other,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,chain,positive,40.2,2.25,0.95,10,35,2.5
AB646236,other,obligate aerobe,flagella,NA,no,rod,NA,negative,63.4,1.2,0.85,7.5,37,5
AB646234,marine sediment,obligate aerobe,flagella,NA,no,rod,NA,negative,64.6,2,0.8,8,36,5.5
EU188448,other,obligate aerobe,flagella,NA,NA,rod,NA,NA,43.4,NA,NA,NA,NA,NA
EU188441,other,obligate aerobe,flagella,NA,NA,rod,NA,NA,47.8,NA,NA,NA,NA,NA
FM177879,other,anaerobic,"motile, but unspecified structure",NA,yes,rod,NA,negative,66,1.19,0.45,NA,NA,NA
AJ550672,freshwater,obligate aerobe,non-motile,NA,no,rod,NA,NA,44.9,0.95,0.4,NA,NA,NA
AB326110,soil,facultative anaerobe,"motile, but unspecified structure",NA,NA,rod,NA,negative,59.9,1.25,0.4,4,30,0
AB326111,soil,facultative anaerobe,"motile, but unspecified structure",NA,NA,rod,NA,negative,57.5,1.05,0.45,4,30,0
EF643377,plant associated,facultative anaerobe,flagella,NA,yes,rod,NA,negative,50.1,2.6,1,NA,29,NA
EU156067,marine sediment,obligate aerobe,flagella,NA,yes,rod,NA,negative,68.4,2,1,7.5,30,NA
FJ467624,marine sediment,obligate aerobe,NA,NA,yes,rod,NA,negative,60,8.25,2,7.5,27.5,2
AB453700,other,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,NA,negative,43.9,1.45,1,NA,25,NA
EU008565,seawater,facultative anaerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,65,1.6,0.7,8,30,NA
FJ463255,other,NA,flagella,NA,yes,rod,NA,negative,67.7,1.9,0.6,NA,32.5,3.25
EU541604,other,facultative anaerobe,flagella,NA,yes,rod,NA,negative,40,NA,NA,NA,NA,2
EU999955,marine sediment,obligate aerobe,gliding,NA,no,rod,NA,negative,38.9,2.6,0.61,7.75,30,2.25
FJ004994,soil,obligate aerobe,non-motile,NA,yes,rod,NA,negative,47.8,1.6,0.5,NA,30,NA
FJ360684,marine sediment,obligate aerobe,gliding,no,yes,rod,NA,negative,32.7,1.72,0.425,7.8,33.5,1.25
EU747841,freshwater,obligate aerobe,non-motile,no,no,rod,NA,negative,47,1.35,0.35,6.5,25,NA
FJ669216,marine sediment,obligate aerobe,non-motile,no,yes,rod,NA,negative,41.4,2.7,0.55,7.5,30,2
EU246691,other,obligate aerobe,gliding,NA,no,rod,NA,negative,36.5,3.85,0.4,7.25,25.5,1.25
EU585748,soil,NA,non-motile,no,yes,rod,NA,negative,37.4,3.1,0.65,7.5,30,0.5
NA,other,obligate aerobe,non-motile,NA,yes,ovoid/coccobacillus,NA,NA,NA,4.75,3.25,NA,NA,NA
NA,other,obligate aerobe,NA,NA,yes,ovoid/coccobacillus,NA,NA,NA,3.75,2.75,NA,NA,NA
EU435435,other,anaerobic,flagella,NA,NA,rod,NA,negative,45.6,3.54,0.52,7,67.5,2.5
EF016285,other,anaerobic,non-motile,no,NA,rod,NA,negative,33.8,5,0.425,7.3,28,NA
FM992367,other,obligate aerobe,NA,NA,yes,cocci,NA,positive,68,NA,1.3,8.5,NA,NA
FM956091,other,obligate aerobe,NA,yes,yes,NA,NA,positive,NA,NA,NA,NA,NA,NA
EU551684,soil,obligate aerobe,non-motile,NA,NA,NA,NA,positive,NA,NA,NA,7.5,30,NA
EU551682,soil,obligate aerobe,non-motile,NA,NA,NA,NA,positive,NA,NA,NA,7.5,30,NA
EU551683,soil,obligate aerobe,non-motile,NA,NA,NA,NA,positive,NA,NA,NA,7.5,30,NA
EU484189,other,NA,non-motile,no,yes,rod,NA,positive,69.8,1,0.5,8,NA,NA
AM944497,plant associated,obligate aerobe,non-motile,yes,yes,NA,NA,positive,71,NA,NA,NA,28,NA
AB245391,soil,obligate aerobe,NA,no,NA,NA,NA,positive,66.3,NA,NA,NA,NA,NA
DQ185597,wastewater,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,NA,positive,60.1,NA,NA,NA,NA,NA
FJ666101,soil,obligate aerobe,non-motile,no,yes,rod,NA,positive,73,1,0.3,7,27.5,NA
FM995533,other,obligate aerobe,NA,NA,yes,cocci,NA,positive,NA,NA,1.25,NA,NA,NA
DQ886938,other,obligate aerobe,non-motile,yes,yes,NA,NA,positive,NA,NA,NA,NA,NA,NA
DQ536404,human - mouth,NA,NA,no,yes,rod,NA,NA,NA,NA,NA,NA,37,NA
EU484334,other,anaerobic,non-motile,no,NA,rod,NA,positive,NA,2.1,0.4,7,31,0
DQ789120,other,anaerobic,non-motile,no,no,rod,chain,positive,64.5,2,0.5,7.2,37,1
FJ805428,other,obligate aerobe,non-motile,yes,yes,ovoid/coccobacillus,NA,positive,68.7,0.8,0.7,7,27,10
AB454379,soil,obligate aerobe,non-motile,yes,yes,rod,none,positive,72.6,NA,0.5,7,27.5,0.75
FJ917743,soil,NA,non-motile,no,yes,rod,chain,positive,70,0.95,4.15,7,30,1.5
FJ514934,other,obligate aerobe,non-motile,no,yes,rod,chain,positive,66.2,1.5,0.15,7,30,5
FJ617539,other,facultative anaerobe,NA,no,yes,NA,chain,positive,NA,NA,NA,7,35,0.5
EU912487,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,positive,69.5,0.65,0.35,7.5,28,0.5
AB646235,marine sediment,obligate aerobe,flagella,NA,no,rod,NA,negative,64.2,1.2,0.85,7.5,37,5
AB646233,marine sediment,obligate aerobe,flagella,NA,no,rod,NA,negative,62.5,1.35,0.85,8,36.5,5.5
GU289640,seawater,obligate aerobe,"motile, but unspecified structure",NA,NA,rod,chain,negative,50.3,0.75,0.95,7,20,3.25
AB377289,soil,obligate aerobe,non-motile,NA,no,rod,NA,positive,65.5,NA,NA,NA,NA,NA
FJ477040,other,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,37.2,4,0.9,NA,30,NA
FJ357159,other,obligate aerobe,flagella,yes,yes,rod,NA,variable,37.6,3,0.3,7.5,NA,8
DQ196623,other,facultative anaerobe,flagella,yes,yes,rod,NA,positive,30.4,3.75,0.9,7.9,35,NA
