"t_number","org_code","aliases","full_name","definition","annotation","taxonomy","lineage","data_source","keywords","disease","comment","number_of_nucleotides","number_of_protein_genes","number_of_RNA_genes","created","type","detail","accession","length","accession2","tax_id"
"T00905","bgl","BURGL, 626418","Burkholderia glumae BGR1","Burkholderia glumae BGR1","manual","TAX: 626418","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000022645.2)            BioProject: 33901","Plant pathogen",NA,"Isolated from a diseased rice panicle in Korea.",7284636,5772,81,2009,"Chromosome","2; Circular","CP001504",2827333,"CP001504","626418"
"T00905","bgl","BURGL, 626418","Burkholderia glumae BGR1","Burkholderia glumae BGR1","manual","TAX: 626418","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000022645.2)            BioProject: 33901","Plant pathogen",NA,"Isolated from a diseased rice panicle in Korea.",7284636,5772,81,2009,"Plasmid","bglu_1p; Circular","CP001505",133591,"CP001505","626418"
"T00905","bgl","BURGL, 626418","Burkholderia glumae BGR1","Burkholderia glumae BGR1","manual","TAX: 626418","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000022645.2)            BioProject: 33901","Plant pathogen",NA,"Isolated from a diseased rice panicle in Korea.",7284636,5772,81,2009,"Plasmid","bglu_2p; Circular","CP001506",141792,"CP001506","626418"
"T00905","bgl","BURGL, 626418","Burkholderia glumae BGR1","Burkholderia glumae BGR1","manual","TAX: 626418","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000022645.2)            BioProject: 33901","Plant pathogen",NA,"Isolated from a diseased rice panicle in Korea.",7284636,5772,81,2009,"Plasmid","bglu_3p; Circular","CP001507",141067,"CP001507","626418"
"T00905","bgl","BURGL, 626418","Burkholderia glumae BGR1","Burkholderia glumae BGR1","manual","TAX: 626418","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000022645.2)            BioProject: 33901","Plant pathogen",NA,"Isolated from a diseased rice panicle in Korea.",7284636,5772,81,2009,"Plasmid","bglu_4p; Circular","CP001508",134346,"CP001508","626418"
"T03632","bgp","595500","Burkholderia glumae PG1","Burkholderia glumae PG1","KOALA","TAX: 595500","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000835205.1)            BioProject: 33837",NA,NA,NA,7896538,6455,81,2015,"Chromosome","1; Circular","CP002580",4163767,"CP002580","595500"
"T03632","bgp","595500","Burkholderia glumae PG1","Burkholderia glumae PG1","KOALA","TAX: 595500","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000835205.1)            BioProject: 33837",NA,NA,NA,7896538,6455,81,2015,"Chromosome","2; Circular","CP002581",3732771,"CP002581","595500"
"T03820","bgu","1176492","Burkholderia glumae LMG 2196 = ATCC 33617","Burkholderia glumae LMG 2196 = ATCC 33617","KOALA","TAX: 1176492","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000960995.1)            BioProject: 259679",NA,NA,NA,6820727,5838,80,2015,"Chromosome","I; Circular","CP009435",3659771,"CP009435","1176492"
"T03820","bgu","1176492","Burkholderia glumae LMG 2196 = ATCC 33617","Burkholderia glumae LMG 2196 = ATCC 33617","KOALA","TAX: 1176492","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000960995.1)            BioProject: 259679",NA,NA,NA,6820727,5838,80,2015,"Chromosome","II; Circular","CP009434",2820414,"CP009434","1176492"
"T03820","bgu","1176492","Burkholderia glumae LMG 2196 = ATCC 33617","Burkholderia glumae LMG 2196 = ATCC 33617","KOALA","TAX: 1176492","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000960995.1)            BioProject: 259679",NA,NA,NA,6820727,5838,80,2015,"Plasmid","pBIN_1; Circular","CP009433",196020,"CP009433","1176492"
"T03820","bgu","1176492","Burkholderia glumae LMG 2196 = ATCC 33617","Burkholderia glumae LMG 2196 = ATCC 33617","KOALA","TAX: 1176492","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000960995.1)            BioProject: 259679",NA,NA,NA,6820727,5838,80,2015,"Plasmid","pBIN_2; Circular","CP009432",144522,"CP009432","1176492"
"T01424","bug","640510","Burkholderia sp. CCGE1001","Burkholderia sp. CCGE1001","manual","TAX: 640510","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000176935.3)            BioProject: 37717",NA,NA,NA,7253494,6453,84,2011,"Chromosome","1; Circular","CP002519",4063449,"CP002519","640510"
"T01424","bug","640510","Burkholderia sp. CCGE1001","Burkholderia sp. CCGE1001","manual","TAX: 640510","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000176935.3)            BioProject: 37717",NA,NA,NA,7253494,6453,84,2011,"Chromosome","2; Circular","CP002520",2770302,"CP002520","640510"
"T01424","bug","640510","Burkholderia sp. CCGE1001","Burkholderia sp. CCGE1001","manual","TAX: 640510","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000176935.3)            BioProject: 37717",NA,NA,NA,7253494,6453,84,2011,"Plasmid","pCCGE1001a; Circular","CP012899",419743,"CP012899","640510"
"T01217","bge","640511","Burkholderia sp. CCGE1002","Burkholderia sp. CCGE1002","manual","TAX: 640511","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000092885.1)            BioProject: 37719","Plant endosymbiont",NA,"Isolated from a Mimosa occidentalis nodule collected in Tepic, Nayarit, Mexico.",7884858,6889,98,2010,"Chromosome","1; Circular","CP002013",3518940,"CP002013","640511"
"T01217","bge","640511","Burkholderia sp. CCGE1002","Burkholderia sp. CCGE1002","manual","TAX: 640511","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000092885.1)            BioProject: 37719","Plant endosymbiont",NA,"Isolated from a Mimosa occidentalis nodule collected in Tepic, Nayarit, Mexico.",7884858,6889,98,2010,"Chromosome","2; Circular","CP002014",2593966,"CP002014","640511"
"T01217","bge","640511","Burkholderia sp. CCGE1002","Burkholderia sp. CCGE1002","manual","TAX: 640511","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000092885.1)            BioProject: 37719","Plant endosymbiont",NA,"Isolated from a Mimosa occidentalis nodule collected in Tepic, Nayarit, Mexico.",7884858,6889,98,2010,"Chromosome","3; Circular","CP002015",1282816,"CP002015","640511"
"T01217","bge","640511","Burkholderia sp. CCGE1002","Burkholderia sp. CCGE1002","manual","TAX: 640511","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000092885.1)            BioProject: 37719","Plant endosymbiont",NA,"Isolated from a Mimosa occidentalis nodule collected in Tepic, Nayarit, Mexico.",7884858,6889,98,2010,"Plasmid","pBC201; Circular","CP002016",489136,"CP002016","640511"
"T01314","bgf","640512","Burkholderia sp. CCGE1003","Burkholderia sp. CCGE1003","manual","TAX: 640512","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000148685.1)            BioProject: 37721",NA,NA,NA,7043595,5988,85,2010,"Chromosome","1; Circular","CP002217",4077097,"CP002217","640512"
"T01314","bgf","640512","Burkholderia sp. CCGE1003","Burkholderia sp. CCGE1003","manual","TAX: 640512","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000148685.1)            BioProject: 37721",NA,NA,NA,7043595,5988,85,2010,"Chromosome","2; Circular","CP002218",2966498,"CP002218","640512"
"T01464","bgd","999541","Burkholderia gladioli BSR3","Burkholderia gladioli BSR3","KOALA","TAX: 999541","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000194745.1)            BioProject: 64503",NA,NA,"Isolated from a diseased rice sheath in South Korea.",9052299,7410,83,2011,"Chromosome","1; Circular","CP002599",4413616,"CP002599","999541"
"T01464","bgd","999541","Burkholderia gladioli BSR3","Burkholderia gladioli BSR3","KOALA","TAX: 999541","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000194745.1)            BioProject: 64503",NA,NA,"Isolated from a diseased rice sheath in South Korea.",9052299,7410,83,2011,"Chromosome","2; Circular","CP002600",3700833,"CP002600","999541"
"T01464","bgd","999541","Burkholderia gladioli BSR3","Burkholderia gladioli BSR3","KOALA","TAX: 999541","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000194745.1)            BioProject: 64503",NA,NA,"Isolated from a diseased rice sheath in South Korea.",9052299,7410,83,2011,"Plasmid","bgla_1p; Circular","CP002601",276215,"CP002601","999541"
"T01464","bgd","999541","Burkholderia gladioli BSR3","Burkholderia gladioli BSR3","KOALA","TAX: 999541","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000194745.1)            BioProject: 64503",NA,NA,"Isolated from a diseased rice sheath in South Korea.",9052299,7410,83,2011,"Plasmid","bgla_2p; Circular","CP002602",129399,"CP002602","999541"
"T01464","bgd","999541","Burkholderia gladioli BSR3","Burkholderia gladioli BSR3","KOALA","TAX: 999541","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000194745.1)            BioProject: 64503",NA,NA,"Isolated from a diseased rice sheath in South Korea.",9052299,7410,83,2011,"Plasmid","bgla_3p; Circular","CP002603",128650,"CP002603","999541"
"T01464","bgd","999541","Burkholderia gladioli BSR3","Burkholderia gladioli BSR3","KOALA","TAX: 999541","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000194745.1)            BioProject: 64503",NA,NA,"Isolated from a diseased rice sheath in South Korea.",9052299,7410,83,2011,"Plasmid","bgla_4p; Circular","CP002604",403586,"CP002604","999541"
"T03826","bgo","28095","Burkholderia gladioli ATCC 10248","Burkholderia gladioli ATCC 10248","KOALA","TAX: 28095","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000959725.1)            BioProject: 238809",NA,NA,NA,8899459,7540,82,2015,"Chromosome","1; Circular","CP009323",4668573,"CP009323","28095"
"T03826","bgo","28095","Burkholderia gladioli ATCC 10248","Burkholderia gladioli ATCC 10248","KOALA","TAX: 28095","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000959725.1)            BioProject: 238809",NA,NA,NA,8899459,7540,82,2015,"Chromosome","2; Circular","CP009322",3927513,"CP009322","28095"
"T03826","bgo","28095","Burkholderia gladioli ATCC 10248","Burkholderia gladioli ATCC 10248","KOALA","TAX: 28095","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000959725.1)            BioProject: 238809",NA,NA,NA,8899459,7540,82,2015,"Plasmid","p1; Circular","CP009321",213090,"CP009321","28095"
"T03826","bgo","28095","Burkholderia gladioli ATCC 10248","Burkholderia gladioli ATCC 10248","KOALA","TAX: 28095","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000959725.1)            BioProject: 238809",NA,NA,NA,8899459,7540,82,2015,"Plasmid","p2; Circular","CP009320",63573,"CP009320","28095"
"T03826","bgo","28095","Burkholderia gladioli ATCC 10248","Burkholderia gladioli ATCC 10248","KOALA","TAX: 28095","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000959725.1)            BioProject: 238809",NA,NA,NA,8899459,7540,82,2015,"Plasmid","p3; Circular","CP009319",26710,"CP009319","28095"
"T01711","byi","1097668","Burkholderia sp. YI23","Burkholderia sp. YI23","KOALA","TAX: 1097668","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000236065.1)            BioProject: 74517",NA,NA,"Isolated from a golf course soil in Yongin, Kyongggi-do, South Korea.",8896411,7804,82,2012,"Chromosome","1; Circular","CP003087",3131280,"CP003087","1097668"
"T01711","byi","1097668","Burkholderia sp. YI23","Burkholderia sp. YI23","KOALA","TAX: 1097668","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000236065.1)            BioProject: 74517",NA,NA,"Isolated from a golf course soil in Yongin, Kyongggi-do, South Korea.",8896411,7804,82,2012,"Chromosome","2; Circular","CP003088",1773019,"CP003088","1097668"
"T01711","byi","1097668","Burkholderia sp. YI23","Burkholderia sp. YI23","KOALA","TAX: 1097668","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000236065.1)            BioProject: 74517",NA,NA,"Isolated from a golf course soil in Yongin, Kyongggi-do, South Korea.",8896411,7804,82,2012,"Chromosome","3; Circular","CP003089",1569570,"CP003089","1097668"
"T01711","byi","1097668","Burkholderia sp. YI23","Burkholderia sp. YI23","KOALA","TAX: 1097668","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000236065.1)            BioProject: 74517",NA,NA,"Isolated from a golf course soil in Yongin, Kyongggi-do, South Korea.",8896411,7804,82,2012,"Plasmid","byi_1p; Circular","CP003090",1951047,"CP003090","1097668"
"T01711","byi","1097668","Burkholderia sp. YI23","Burkholderia sp. YI23","KOALA","TAX: 1097668","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000236065.1)            BioProject: 74517",NA,NA,"Isolated from a golf course soil in Yongin, Kyongggi-do, South Korea.",8896411,7804,82,2012,"Plasmid","byi_2p; Circular","CP003091",356263,"CP003091","1097668"
"T01711","byi","1097668","Burkholderia sp. YI23","Burkholderia sp. YI23","KOALA","TAX: 1097668","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000236065.1)            BioProject: 74517",NA,NA,"Isolated from a golf course soil in Yongin, Kyongggi-do, South Korea.",8896411,7804,82,2012,"Plasmid","byi_3p; Circular","CP003092",115232,"CP003092","1097668"
"T02110","buk","416344","Burkholderia sp. KJ006","Burkholderia sp. KJ006","KOALA","TAX: 416344","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000262695.1)            BioProject: 79219",NA,NA,"Isolated from surface-sterilized rice root.",6629912,6024,83,2012,"Chromosome","1; Circular","CP003514",3145156,"CP003514","416344"
"T02110","buk","416344","Burkholderia sp. KJ006","Burkholderia sp. KJ006","KOALA","TAX: 416344","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000262695.1)            BioProject: 79219",NA,NA,"Isolated from surface-sterilized rice root.",6629912,6024,83,2012,"Chromosome","2; Circular","CP003515",2356985,"CP003515","416344"
"T02110","buk","416344","Burkholderia sp. KJ006","Burkholderia sp. KJ006","KOALA","TAX: 416344","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000262695.1)            BioProject: 79219",NA,NA,"Isolated from surface-sterilized rice root.",6629912,6024,83,2012,"Chromosome","3; Circular","CP003516",1082410,"CP003516","416344"
"T02110","buk","416344","Burkholderia sp. KJ006","Burkholderia sp. KJ006","KOALA","TAX: 416344","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000262695.1)            BioProject: 79219",NA,NA,"Isolated from surface-sterilized rice root.",6629912,6024,83,2012,"Plasmid","pKJ006; Circular","CP003517",45361,"CP003517","416344"
"T02684","buo","758793","Burkholderia sp. RPE64","Burkholderia sp. RPE64","KOALA","TAX: 758793","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000402035.1)            BioProject: 205117",NA,NA,"Isolated from field-collected Riptortus pedestris.",6964487,6732,76,2013,"Chromosome","1; Circular","AP013058",3013410,"AP013058","758793"
"T02684","buo","758793","Burkholderia sp. RPE64","Burkholderia sp. RPE64","KOALA","TAX: 758793","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000402035.1)            BioProject: 205117",NA,NA,"Isolated from field-collected Riptortus pedestris.",6964487,6732,76,2013,"Chromosome","2; Circular","AP013059",1465356,"AP013059","758793"
"T02684","buo","758793","Burkholderia sp. RPE64","Burkholderia sp. RPE64","KOALA","TAX: 758793","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000402035.1)            BioProject: 205117",NA,NA,"Isolated from field-collected Riptortus pedestris.",6964487,6732,76,2013,"Chromosome","3; Circular","AP013060",900830,"AP013060","758793"
"T02684","buo","758793","Burkholderia sp. RPE64","Burkholderia sp. RPE64","KOALA","TAX: 758793","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000402035.1)            BioProject: 205117",NA,NA,"Isolated from field-collected Riptortus pedestris.",6964487,6732,76,2013,"Plasmid","p1; Circular","AP013061",1275199,"AP013061","758793"
"T02684","buo","758793","Burkholderia sp. RPE64","Burkholderia sp. RPE64","KOALA","TAX: 758793","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000402035.1)            BioProject: 205117",NA,NA,"Isolated from field-collected Riptortus pedestris.",6964487,6732,76,2013,"Plasmid","p2; Circular","AP013062",309692,"AP013062","758793"
"T03604","bue","758796","Burkholderia sp. RPE67","Burkholderia sp. RPE67","KOALA","TAX: 758796","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000828875.1)            BioProject: 248279",NA,NA,"Isolated from the symbiotic organ of a field-collected R. pedestris bug.",8685756,8112,82,2015,"Chromosome","1; Circular","AP014576",3090091,"AP014576","758796"
"T03604","bue","758796","Burkholderia sp. RPE67","Burkholderia sp. RPE67","KOALA","TAX: 758796","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000828875.1)            BioProject: 248279",NA,NA,"Isolated from the symbiotic organ of a field-collected R. pedestris bug.",8685756,8112,82,2015,"Chromosome","2; Circular","AP014577",1787110,"AP014577","758796"
"T03604","bue","758796","Burkholderia sp. RPE67","Burkholderia sp. RPE67","KOALA","TAX: 758796","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000828875.1)            BioProject: 248279",NA,NA,"Isolated from the symbiotic organ of a field-collected R. pedestris bug.",8685756,8112,82,2015,"Chromosome","3; Circular","AP014578",1680600,"AP014578","758796"
"T03604","bue","758796","Burkholderia sp. RPE67","Burkholderia sp. RPE67","KOALA","TAX: 758796","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000828875.1)            BioProject: 248279",NA,NA,"Isolated from the symbiotic organ of a field-collected R. pedestris bug.",8685756,8112,82,2015,"Plasmid","p1; Circular","AP014579",1438033,"AP014579","758796"
"T03604","bue","758796","Burkholderia sp. RPE67","Burkholderia sp. RPE67","KOALA","TAX: 758796","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000828875.1)            BioProject: 248279",NA,NA,"Isolated from the symbiotic organ of a field-collected R. pedestris bug.",8685756,8112,82,2015,"Plasmid","p2; Circular","AP014580",495745,"AP014580","758796"
"T03604","bue","758796","Burkholderia sp. RPE67","Burkholderia sp. RPE67","KOALA","TAX: 758796","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000828875.1)            BioProject: 248279",NA,NA,"Isolated from the symbiotic organ of a field-collected R. pedestris bug.",8685756,8112,82,2015,"Plasmid","p3; Circular","AP014581",194177,"AP014581","758796"
"T03759","bul","1468409","Burkholderia sp. 2002721687","Burkholderia sp. 2002721687","KOALA","TAX: 1468409","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000959325.1)            BioProject: 239255",NA,NA,NA,7285824,6284,70,2015,"Chromosome","I; Circular","CP009549",4067533,"CP009549","1468409"
"T03759","bul","1468409","Burkholderia sp. 2002721687","Burkholderia sp. 2002721687","KOALA","TAX: 1468409","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000959325.1)            BioProject: 239255",NA,NA,NA,7285824,6284,70,2015,"Chromosome","II; Circular","CP009548",2913181,"CP009548","1468409"
"T03759","bul","1468409","Burkholderia sp. 2002721687","Burkholderia sp. 2002721687","KOALA","TAX: 1468409","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_000959325.1)            BioProject: 239255",NA,NA,NA,7285824,6284,70,2015,"Plasmid","pBTU; Circular","CP009547",305110,"CP009547","1468409"
"T04094","buq","1678678","Burkholderia sp. HB1","Burkholderia sp. HB1","KOALA","TAX: 1678678","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_001293045.1)            BioProject: 288741",NA,NA,"Isolated from a phenanthrene-enrichment culture seeded with a pristine farm soil sample.",7206167,6224,83,2016,"Chromosome","1; Circular","CP012192",4081670,"CP012192","1678678"
"T04094","buq","1678678","Burkholderia sp. HB1","Burkholderia sp. HB1","KOALA","TAX: 1678678","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_001293045.1)            BioProject: 288741",NA,NA,"Isolated from a phenanthrene-enrichment culture seeded with a pristine farm soil sample.",7206167,6224,83,2016,"Chromosome","2; Circular","CP012193",3124497,"CP012193","1678678"
"T04139","bpla","41899","Burkholderia plantarii","Burkholderia plantarii ATCC 43733","KOALA","TAX: 41899","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_001411805.1)            BioProject: 237833",NA,NA,NA,8081051,6457,77,2016,"Chromosome","1; Circular","CP007212",4140040,"CP007212","41899"
"T04139","bpla","41899","Burkholderia plantarii","Burkholderia plantarii ATCC 43733","KOALA","TAX: 41899","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_001411805.1)            BioProject: 237833",NA,NA,NA,8081051,6457,77,2016,"Chromosome","2; Circular","CP007213",3743649,"CP007213","41899"
"T04139","bpla","41899","Burkholderia plantarii","Burkholderia plantarii ATCC 43733","KOALA","TAX: 41899","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_001411805.1)            BioProject: 237833",NA,NA,NA,8081051,6457,77,2016,"Plasmid","bpln_1p; Circular","CP007214",197362,"CP007214","41899"
"T04266","bud","1740162","Burkholderia sp. Bp5365","Burkholderia sp. Bp5365 MSMB43","KOALA","TAX: 1740162","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_001513745.1)            BioProject: 279182",NA,NA,NA,7287809,6165,73,2016,"Chromosome","1; Circular","CP013380",4069152,"CP013380","1740162"
"T04266","bud","1740162","Burkholderia sp. Bp5365","Burkholderia sp. Bp5365 MSMB43","KOALA","TAX: 1740162","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_001513745.1)            BioProject: 279182",NA,NA,NA,7287809,6165,73,2016,"Chromosome","2; Circular","CP013382",2913543,"CP013382","1740162"
"T04266","bud","1740162","Burkholderia sp. Bp5365","Burkholderia sp. Bp5365 MSMB43","KOALA","TAX: 1740162","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia","GenBank (Assembly: GCA_001513745.1)            BioProject: 279182",NA,NA,NA,7287809,6165,73,2016,"Plasmid","pMSMB43; Circular","CP013381",305114,"CP013381","1740162"
"T00340","bxe","BURXL, 266265","Paraburkholderia xenovorans LB400","Paraburkholderia xenovorans LB400 (Burkholderia xenovorans LB400)","manual","TAX: 266265","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000013645.1)            BioProject: 254","PCB degrader",NA,"Isolated from a PCB-contaminated landfill in New York State.",9731138,8702,86,2006,"Chromosome","1; Circular","CP000270",4895836,"CP000270","266265"
"T00340","bxe","BURXL, 266265","Paraburkholderia xenovorans LB400","Paraburkholderia xenovorans LB400 (Burkholderia xenovorans LB400)","manual","TAX: 266265","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000013645.1)            BioProject: 254","PCB degrader",NA,"Isolated from a PCB-contaminated landfill in New York State.",9731138,8702,86,2006,"Chromosome","2; Circular","CP000271",3363523,"CP000271","266265"
"T00340","bxe","BURXL, 266265","Paraburkholderia xenovorans LB400","Paraburkholderia xenovorans LB400 (Burkholderia xenovorans LB400)","manual","TAX: 266265","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000013645.1)            BioProject: 254","PCB degrader",NA,"Isolated from a PCB-contaminated landfill in New York State.",9731138,8702,86,2006,"Chromosome","3; Circular","CP000272",1471779,"CP000272","266265"
"T03290","bxb","266265","Paraburkholderia xenovorans LB400","Paraburkholderia xenovorans LB400 (Burkholderia xenovorans LB400)","KOALA","TAX: 266265","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000756045.1)            BioProject: 244540",NA,NA,NA,9702951,8631,82,2014,"Chromosome","1; Circular","CP008760",4868129,"CP008760","266265"
